date,Pennsylvania,flu contagious,stomach flu,contagious flu,how long flu,flu how long,bronchitis,the flu,flu cold,the flu symptoms,flu symptoms,symptoms of flu,cold,a influenza,influenza a,rsv,how long does flu last,how long does the flu last,pneumonia,flu fever,fever flu
2018-02-03,6.06418,589.9895786253511,832.1824795892524,604.2153115487938,1227.6954273937663,1227.6954273937663,1118.2718385586616,5887.129361714304,911.6760301207362,766.8544098957492,4569.20216001323,1101.593224101769,10610.92284029677,424.30156708293714,424.3015670829371,760.1016951385213,396.0690162126797,301.3313558641911,1999.5529236530929,547.1957485322162,547.195748532216
2018-02-10,6.65157,422.1657258906072,735.619390813215,418.2643395831419,1133.6978041762225,1133.6978041762225,997.2575217449488,4982.987261581096,885.1501652348417,609.0719289683108,4439.260123137382,999.9331227632777,10858.245386128832,283.7940504787585,283.7940504787585,512.5928118404339,370.83639563759135,260.60729761507287,1965.693251244228,623.5653339288334,623.5653339288334
2018-02-17,6.79669,543.3032007432087,688.1476160358545,557.2385367368232,1100.1221412027865,1100.1221412027865,1053.4906423639377,4927.193399670613,746.0646156357824,666.7735850660853,3862.108403664508,899.5234803996822,9435.20133990447,368.56220757799554,368.5622075779955,530.723728489309,301.98865444063114,217.63545314059792,1857.7990901512856,499.9265192105094,499.9265192105094
2018-02-24,5.39183,341.1286382523346,488.7455219130976,309.58318545498776,811.0614482284752,811.0614482284752,891.8878546464772,2780.4069324724983,479.10924304301176,329.5000882106119,2350.96274949918,602.306484703725,8582.628776600566,240.00452705190463,240.00452705190463,452.65483706280406,228.6534577816939,163.88713010383458,1668.1672790006646,391.2033010297705,391.2033010297704
2018-03-03,3.68232,211.947887270937,350.3664398728589,199.29497388488744,429.9648119393352,429.9648119393351,787.3671905831055,1966.479874225634,306.41449675600404,274.4607976843691,1460.857856559265,361.7350067069853,8867.29509240028,183.20448699328696,183.204486993287,376.0345330420225,118.95420150981568,80.91608546275815,1485.612505000592,229.4229176279847,229.4229176279847
2018-03-10,2.72218,117.27986370114697,333.31655523462814,173.93802182821864,250.33384840757577,250.33384840757577,741.2516274657523,1206.505081487852,203.46380839903645,160.8808272410294,901.3718311616988,211.12536451986176,8844.66886032776,77.1377855529713,77.13778555297131,314.23008210772014,117.12503372697286,91.731051768029,1307.068387256198,109.27028935645164,109.27028935645164
2018-03-17,2.47876,158.17056558754967,310.9579061688237,159.28539468062547,245.4468656689889,245.44686566898883,680.920053168615,1008.2820483611324,247.63156412574503,120.20788862506568,723.9366554399435,152.5917506020049,8975.781627905204,50.3649730548678,50.3649730548678,261.5523480626248,50.0018835104082,0.0,1281.6151325671435,165.18839715114245,165.18839715114248
2018-03-24,2.34462,77.04934839177318,402.3694483402044,77.40217370734038,302.138285788883,302.138285788883,612.9051125474159,1002.8768949788366,265.6691763832979,112.10063690114704,731.7924610015904,169.29659165671276,8513.623803914745,110.91400782270892,110.91400782270892,164.73272814995647,137.29889375990558,97.10813378899702,1215.3898261837016,209.88687860177825,209.8868786017782
2018-03-31,2.15666,54.6476603218238,277.1926507713489,75.50485151516332,289.868211116987,289.8682111169871,758.7001646105659,1039.876946786419,237.6549262413009,139.48105255417593,696.2229456318706,141.69067159955452,8549.539105371103,120.24276419839582,120.2427641983958,195.15911987015463,164.1837221121503,82.09344353716314,1331.669329669273,170.18672529608702,170.18672529608702
2018-04-07,1.75858,107.73719848710724,268.8491403702594,96.98089183991308,159.36286263932283,159.36286263932286,761.3720444866115,823.470266463696,150.19178898928345,129.4915380645377,557.6056854219976,151.8144495701275,8324.95091795289,0.0,0.0,147.56478485504783,83.34834664519815,74.9762953206782,1098.0055492792471,118.36747085058154,118.36747085058154
2018-04-14,1.61448,105.45074374659043,316.71164805328084,87.93168995797708,159.41405190325736,159.41405190325736,638.1434194802177,717.4101739481691,186.80087199464936,88.24138460614694,471.9127439757252,106.3014470066859,9040.27807269258,0.0,0.0,176.18359744868803,82.30903093297313,60.72911356094208,1323.8068463477807,75.76115599762186,75.76115599762186
2018-04-21,1.38854,44.980935448558,225.48770317725769,0.0,123.00278072620809,123.00278072620809,686.1293889425331,493.8553299817926,169.58006197074255,103.10903264730136,383.020842620102,108.21174102076836,8566.801756859713,0.0,0.0,148.909535743347,81.47058394985505,0.0,1157.914258591419,44.80631966482312,44.80631966482312
2018-04-28,1.28933,0.0,243.21131231837805,54.02825669204248,139.1682871760889,139.1682871760889,540.9452855006944,491.1042235924594,96.31062256927596,65.83462132254614,309.34141267055,0.0,7863.51232580181,0.0,0.0,174.2579477805844,59.53818626863573,60.01543422557031,976.7290647386736,101.42025744660786,101.42025744660783
2018-05-05,1.1062,0.0,249.1358786965619,0.0,117.2166949902148,117.2166949902148,571.5988525350897,484.34838797147046,128.6387765205099,0.0,323.2219460260172,58.96532683059677,8488.92514016879,54.48031464981092,54.48031464981093,106.109966370547,0.0,0.0,896.944827952819,0.0,0.0
2018-05-12,0.912693,0.0,131.4775352627914,0.0,59.48095234247703,59.48095234247703,472.480506057001,239.04928049115765,73.68370636875174,0.0,203.2908693375821,65.57111657464016,8111.217354701408,0.0,0.0,114.3485896612436,0.0,52.935854761548754,1073.3411113994307,0.0,0.0
2018-05-19,0.783355,0.0,157.00287873858466,85.98868154828739,98.26378967678112,98.26378967678114,351.4951068549118,288.70454619131425,58.32099097645165,46.9963499757237,189.14324558924665,0.0,7357.5604555664,0.0,0.0,68.37549008701278,51.22452583747791,59.5981550110199,894.5736473633514,62.08304459908524,62.08304459908525
2018-05-26,0.726085,0.0,148.79369214715513,0.0,0.0,0.0,509.55786415157934,167.664794783754,0.0,0.0,119.77329399691544,0.0,7844.909980355951,0.0,0.0,102.7593407171928,0.0,0.0,845.3204278493769,0.0,0.0
2018-06-02,0.717958,0.0,165.170358984358,0.0,69.55353944982161,69.55353944982161,457.1626968970431,187.8216276700875,133.4595690457755,0.0,210.92396189648704,87.19122540407926,7926.532458009799,52.49227821595344,52.492278215953455,81.79050958613884,0.0,0.0,909.1954105325703,0.0,0.0
