date,Delaware,the flu,flu symptoms,flu how long,symptoms of flu,how long flu,influenza a,bronchitis,the flu symptoms,contagious flu,a influenza,rsv,flu cold,flu contagious,stomach flu,flu a,pneumonia,flu fever,fever flu,how long does flu last,sinus
2016-10-15,0.0687285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446.5114786769886
2016-10-22,0.171703,0.0,0.0,0.0,0.0,0.0,0.0,967.6620528345308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139.3763111370138,0.0,0.0,0.0,1473.5439175049798
2016-10-29,0.281591,1255.8261533099587,0.0,0.0,0.0,0.0,0.0,1507.415189814337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1267.282381386537,0.0,0.0,0.0,1320.4197110303012
2016-11-05,0.40293,0.0,0.0,0.0,0.0,0.0,1491.7632967148097,958.6059675101852,0.0,0.0,1491.7632967148097,0.0,0.0,0.0,0.0,0.0,994.4664880523924,0.0,0.0,0.0,1445.1830285658202
2016-11-12,0.0359324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.2524088182545,0.0,0.0,0.0,0.0
2016-11-19,0.138169,1160.9805694391982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0148602571085,0.0,0.0,0.0,1533.153104047326,0.0,0.0,0.0,2107.90735338302
2016-11-26,0.0496032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.4238425824674,0.0,0.0,0.0,987.6841256488916
2016-12-03,0.0350018,844.1310246820226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.196889981116,0.0,0.0,1314.7665357606209
2016-12-10,0.177179,0.0,883.6572115778732,0.0,0.0,0.0,0.0,1089.349176328452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.5745297877825,0.0,0.0,0.0,789.4339059597305
2016-12-17,0.145826,0.0,0.0,0.0,0.0,0.0,0.0,1480.781497447006,0.0,0.0,0.0,1176.5217773235574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.9626171280242
2016-12-24,0.0785855,0.0,0.0,0.0,0.0,0.0,0.0,1211.7414159349364,0.0,0.0,0.0,936.928108488169,0.0,0.0,0.0,0.0,1080.7655917026227,0.0,0.0,0.0,2394.193208991732
2016-12-31,0.106952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.9881973634783,0.0,0.0,0.0,0.0,1312.164120114116,0.0,0.0,0.0,2309.301919382147
2017-01-07,0.185014,0.0,0.0,0.0,0.0,0.0,0.0,789.2502987224259,0.0,0.0,0.0,961.1181521936412,0.0,0.0,0.0,0.0,922.8277872151332,0.0,0.0,0.0,2543.6645964735108
2017-01-14,0.633357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.5066266466218,0.0,0.0,0.0,0.0,1343.4193969254648,0.0,0.0,0.0,1584.2436547259954
2017-01-21,0.406688,0.0,0.0,0.0,0.0,0.0,0.0,1188.3349314315808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1246.3020442611974,0.0,0.0,0.0,2639.4614788832537
2017-01-28,0.356761,1425.4140970003173,0.0,0.0,0.0,0.0,0.0,951.844140179263,0.0,0.0,0.0,1030.325320107777,0.0,0.0,0.0,0.0,1194.8178172107596,0.0,0.0,0.0,1379.86112186463
2017-02-04,0.726644,1568.382828431121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920.532828602472,0.0,0.0,0.0,2600.7248993939324
2017-02-11,0.638468,1704.4743753539683,1659.1330192250314,0.0,889.3402866901127,0.0,0.0,1658.3762948424474,0.0,0.0,0.0,0.0,987.5221797086756,0.0,0.0,0.0,1417.0975321442413,0.0,0.0,0.0,1163.3637268309608
2017-02-18,1.28824,843.0125306585825,1296.3030184718532,0.0,0.0,1063.7514884600914,0.0,893.4234055544794,0.0,0.0,0.0,0.0,0.0,0.0,1350.8739220850584,994.8299968175772,1754.2153761346003,0.0,0.0,0.0,1712.012671452225
2017-02-25,1.14424,1651.8686033561687,1654.0774278825654,0.0,1175.9800896161478,0.0,0.0,985.250727091744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948.47122526933,1198.563888938589,0.0,0.0,946.6176978115368,1891.3184230703323
2017-03-04,0.596421,752.6691271697855,0.0,0.0,771.6507481814783,0.0,0.0,1034.2073994621564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788.0142041277404
2017-03-11,0.790254,1194.9578280614276,777.174094257493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1451.273489631583,0.0,0.0,0.0,1229.9243637402317
2017-03-18,0.526316,0.0,716.926481981197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.692423530115
2017-03-25,0.336247,1098.3944481464289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1311.7403205984615,0.0,0.0,0.0,2026.889341606549
2017-04-01,0.570661,0.0,0.0,0.0,0.0,0.0,0.0,1144.5454245913763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1502.7024523222976,0.0,0.0,0.0,1163.1503715079832
2017-04-08,0.464618,949.8623656659032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.665092312765,0.0,0.0,0.0,1899.68470016101
2017-04-15,0.520416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1910.0988149360696,0.0,0.0,770.6610584992578,1624.9742302767338
2017-04-22,0.222469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.1729380630316,0.0,0.0,0.0,1512.7408200933874
2017-04-29,0.0366032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.8527605130955,0.0,0.0,0.0,1036.5867723070137
2017-05-06,0.0703235,1263.109312527065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.4982966012096
2017-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.4038714193166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.5478442385222
2017-05-20,0.145349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1458.754831260664,0.0,0.0,0.0,1852.736824706322
2017-05-27,0.0738552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.8751657761632
2017-06-03,0.175593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.69138677921,0.0,0.0,0.0,832.5238761576519
2017-06-17,0.58873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.7508633400279,0.0,0.0,0.0,895.6721585691814
2017-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.1477323316659,0.0,0.0,0.0,1219.5487697660585
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.608615924656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1781.7842006252931
2017-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.207077154305,0.0,0.0,0.0,1172.2642562436654
2017-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.3508725987083
2017-07-22,0.145402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191.9383942246277,0.0,0.0,0.0,0.0
2017-07-29,0.0,0.0,0.0,0.0,0.0,893.6520948623634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.6087631625846,0.0,0.0,0.0,1339.3689341991458
2017-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1501.607829693668
2017-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.2544741087451,0.0,0.0,0.0,1154.8195219291351
2017-08-19,0.076864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.6797569203886
2017-08-26,0.114329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305.0477475492023
2017-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.6123139296142,0.0,0.0,0.0,1343.5450259126071
2017-09-09,0.0987654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.4038736697198
2017-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263.409884044033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.9026684676445,0.0,0.0,0.0,0.0,1342.6865573727064
2017-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0060963589045,0.0,0.0,0.0,1101.028418674288,0.0,0.0,0.0,933.087841673284
2017-09-30,0.101557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.7448083041694,0.0,0.0,0.0,1546.3827945162377
2017-10-07,0.0717875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.7396679600145,1343.7095552773746,0.0,0.0,0.0,1816.2871221307023
2017-10-14,0.0703235,915.041293700278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1284.554727689419,0.0,0.0,0.0,1437.398384265879
2017-10-21,0.0327869,796.9435286011112,0.0,0.0,813.1078360582637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.7988249275045,774.9318758170504,0.0,0.0,0.0,1430.602515920133
2017-10-28,0.104603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.9863968834981,0.0,950.2259786451922,0.0,0.0,0.0,1196.15768960566
2017-11-04,0.529501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.9123537294508,0.0,0.0,0.0,1088.6953952001663
2017-11-11,0.186081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.838944880178
2017-11-18,0.106308,0.0,797.5098636284021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.3160068534482,0.0,0.0,0.0,791.5976529537346
2017-11-25,0.0542299,0.0,765.2312812359105,0.0,0.0,0.0,0.0,785.258669230102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.3709178798791,0.0,0.0,0.0,909.3311133369436
2017-12-02,0.182349,0.0,1053.4924112872686,0.0,0.0,0.0,0.0,1106.1600875239697,0.0,0.0,0.0,0.0,1142.7247102455924,0.0,0.0,0.0,793.3512010986012,0.0,0.0,0.0,1112.6728961025717
2017-12-09,0.189251,1140.7960843091514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.2348293153598,0.0,0.0,0.0,1905.058002773394
2017-12-16,0.267584,757.182337481186,0.0,0.0,0.0,0.0,0.0,0.0,788.6175149575121,0.0,0.0,1150.7428030162405,0.0,0.0,841.7052726302603,0.0,2252.6700991113853,0.0,0.0,0.0,2211.706620424157
2017-12-23,0.503876,0.0,0.0,0.0,0.0,0.0,0.0,904.1842900273872,0.0,0.0,0.0,1375.59836386356,0.0,0.0,0.0,0.0,1936.023144569664,0.0,0.0,0.0,1701.0121578513788
2017-12-30,0.278164,913.7721895401928,1854.391746809082,0.0,908.1050755639404,0.0,0.0,1089.259506404488,0.0,0.0,0.0,1325.735257699965,0.0,0.0,907.8134519110688,0.0,1755.6778505677537,0.0,0.0,0.0,3191.7116839299347
2018-01-06,0.599201,1632.033563011055,895.483130278032,0.0,0.0,0.0,0.0,808.2621761920205,0.0,0.0,0.0,968.3858635083476,0.0,0.0,1219.563001798842,0.0,3168.8302763005045,0.0,0.0,0.0,1771.4904595457515
2018-01-13,0.843289,1406.0798068902825,2103.159010586496,720.8546983961893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.2532158595753,0.0,0.0,0.0,0.0,1579.4900567784923,0.0,0.0,0.0,1867.2390999057
2018-01-20,1.22518,3048.027746951954,3888.26609483387,0.0,906.4478672040576,0.0,0.0,0.0,0.0,0.0,0.0,1326.5035203462094,0.0,0.0,0.0,1666.5101912294865,1552.7451273880577,0.0,828.3314048497616,0.0,2264.8798561403
2018-01-27,2.34146,4600.312031516706,5371.059560160368,862.8540281991344,1204.8988072561226,741.8851987121797,0.0,928.3708565601776,0.0,847.4763616398525,0.0,932.6665203556116,0.0,847.4763616398525,1047.9763334592508,1037.150226062403,1577.0656506407167,0.0,0.0,0.0,1020.0304316136828
2018-02-03,3.46306,5136.719456772469,5912.294578757257,0.0,835.8407692796077,922.0679167214244,0.0,782.3164513172386,0.0,0.0,0.0,774.3448769664113,0.0,0.0,750.6016916472462,940.5748828537714,1600.1839593121986,0.0,0.0,0.0,1516.654433754289
2018-02-10,6.28149,6058.495115779048,5735.1186844520025,1321.9399292038086,1676.1343214926803,1243.2360809896782,0.0,1628.1093486828015,756.8952282076644,0.0,0.0,790.0651611587875,1085.5381927240023,0.0,0.0,1779.650390354417,1361.0650732163726,823.8264051446033,824.2849133305149,0.0,2005.2578516522628
2018-02-17,4.70395,7895.020081648545,4786.564117531268,2095.36168864309,1157.3062351829426,1165.1443070603991,0.0,781.6750812176169,709.4321629980399,0.0,0.0,744.500521057416,1271.0405928533444,0.0,824.5911200461203,2768.580149883732,1598.3887676861602,1003.4060693678048,751.4735450125002,0.0,1606.7170045247813
2018-02-24,2.69906,3352.0690414983706,3343.760227960971,1118.4320179897022,1376.0851830096408,0.0,0.0,1378.058970630929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.6547322152703,1601.9875558612011,0.0,883.6576585349189,0.0,2996.7511634958355
2018-03-03,2.15569,1976.196213640116,1468.817694410924,0.0,0.0,0.0,0.0,1007.4449679380132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.6643027087237,0.0,0.0,0.0,1531.9471063102549
2018-03-10,0.958957,1172.336946948947,1903.102818720162,0.0,0.0,897.1347629658381,0.0,2158.4133244472227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754.3607635515204,0.0,0.0,0.0,2181.005128294752
2018-03-17,1.38642,1702.7386610637886,1029.594420380857,0.0,0.0,0.0,0.0,808.1144778310653,0.0,0.0,0.0,891.1419957127546,0.0,0.0,0.0,0.0,1059.4669651784886,0.0,0.0,0.0,1898.231699205087
2018-03-24,1.33038,1444.9410595379609,709.4940988251104,0.0,0.0,0.0,0.0,1029.8530188866882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.2003657409393,0.0,0.0,0.0,2082.518643613113
2018-03-31,0.990952,1044.280751312392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.6521980094476,0.0,0.0,0.0,1882.804978220439
2018-04-07,0.157916,0.0,0.0,0.0,0.0,0.0,0.0,845.7551788348793,776.7418551712668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.1855770565526,0.0,0.0,0.0,1820.4618289312584
2018-04-14,0.280224,918.3362034104316,787.8829923064715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.3157191122742,0.0,949.4248651878688,0.0,0.0,0.0,2439.708361997195
2018-04-21,0.335445,982.968156307046,0.0,0.0,0.0,754.0506656585329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.4892068608311,0.0,752.5290389637925,0.0,0.0,0.0,1455.1228812299794
2018-04-28,0.10917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.3097500111082
2018-05-05,0.251346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.056705737124,0.0,889.6375434065322,0.0,0.0,710.2402936163008,1841.6885012838168
2018-05-12,0.117786,727.1205864028491,825.3691297140839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.7594170729976,0.0,0.0,0.0,1695.2744621850943
2018-05-19,0.0381098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.8583763255574,0.0,0.0,0.0,1302.7671873764407
2018-05-26,0.0417014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1830.0927123784925
2018-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0796394419432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.7216967984325
2018-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2151.880995301446
2018-06-16,0.042517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.2466915393444,0.0,1284.1968939487135
2018-06-23,0.0469484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.4591269051626,0.0,0.0,0.0,1259.201827232783
2018-06-30,0.369174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0205097072644,0.0,0.0,0.0,970.4139316596172
2018-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0105456678392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493.004826400815
2018-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1461.0979878731316
2018-07-21,0.302637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.5516391169801,0.0,0.0,831.4208437067588,0.0,0.0,0.0,0.0,0.0,1783.0205841374118
2018-07-28,0.131868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.759728109118
2018-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.0945830216392,0.0,0.0,0.0,1223.9611110260755
2018-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1649.817750463155
2018-08-18,0.0,887.9365132887806,0.0,0.0,0.0,0.0,0.0,940.0914698526708,0.0,719.027008617373,0.0,0.0,0.0,719.027008617373,0.0,0.0,0.0,0.0,0.0,0.0,1334.0918413132335
2018-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.3283404953534,0.0,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.199942106117
2018-09-08,0.0,0.0,765.7171249642889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.4637469765084,0.0,0.0,0.0,2081.7085385522346
2018-09-15,0.0848176,1009.8365223111967,882.8298352534484,0.0,0.0,0.0,0.0,1032.6893664440906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205.4154230823135,963.0327082579028,960.9387344507224,0.0,0.0,1325.2264596337789
2018-09-22,0.0713267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.6610183493325,0.0,0.0,0.0,1388.683362809565
2018-09-29,0.12024,926.6537690550332,0.0,0.0,811.5927237310585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.4775155190205,868.25188243336,0.0,0.0,0.0,1888.596886599215
2018-10-06,0.0,804.4942746455735,0.0,884.5176403184545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.6452891937145,0.0,1364.579411745044,0.0,0.0,0.0,1526.358857931471
2018-10-13,0.0872981,1772.839255507795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.9247226402566,1925.2623588870435,0.0,0.0,0.0,1144.4660833661992
2018-10-20,0.113679,1717.94403806981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.9199938601356,0.0,0.0,0.0,898.9199938601356,0.0,0.0,909.1388613077014,0.0,0.0,0.0,937.9324459775636
2018-10-27,0.155521,1795.267684316105,0.0,0.0,0.0,0.0,0.0,809.9002797290558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336.912980049515,0.0,0.0,0.0,1108.2455042926972
2018-11-03,0.152091,0.0,0.0,0.0,0.0,1070.8722334613096,0.0,1051.968968925224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.1101469646662,0.0,0.0,0.0,1452.400762207947
2018-11-10,0.530179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.6842332147278,0.0,0.0,0.0,1460.1916692659065
2018-11-17,0.41511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.7134011772033,1843.8642426801127,0.0,0.0,0.0,1043.9487030249225
2018-11-24,0.256082,0.0,0.0,0.0,0.0,990.8445059349116,0.0,0.0,0.0,0.0,0.0,806.7635716488944,0.0,0.0,0.0,0.0,1472.262329953542,0.0,0.0,0.0,1448.5373731575817
2018-12-01,0.199681,889.2261833802334,0.0,0.0,0.0,0.0,0.0,954.4029847484362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.2941987681163,0.0,0.0,0.0,1249.7175739289169
2018-12-08,0.649652,0.0,0.0,0.0,0.0,0.0,0.0,1104.344816538223,0.0,0.0,0.0,813.5086473103368,0.0,0.0,0.0,0.0,1311.4839406090146,0.0,0.0,0.0,2309.42348724298
2018-12-15,0.655881,938.8912451829544,0.0,0.0,0.0,0.0,0.0,700.4682964465627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672.673130098578,0.0,0.0,0.0,2412.5625230430123
2018-12-22,1.24648,1135.8060988766767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.1394722101177,865.160831603491,0.0,0.0,0.0,1341.5201232252507,0.0,0.0,0.0,2009.7405870807204
