date,Washington,flu symptoms,pneumonia,the flu,stomach flu,flu how long,how long flu,bronchitis,rsv,flu cold,contagious flu,flu contagious,a influenza,influenza a,how long does flu last,symptoms of flu,fever flu,flu fever,the flu symptoms,flu virus,influenza symptoms
2013-07-27,0.242772,211.34742430316024,468.3318917943092,158.4693318035206,162.8873054991211,0.0,0.0,165.77265605616353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-03,0.118147,142.6652794580216,499.9032096395569,196.4954336196985,296.0411640801956,0.0,0.0,338.0011693318324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.13194459766449,0.0
2013-08-10,0.162225,159.5270033261073,497.80396835649566,0.0,170.20053624098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.38392633425735
2013-08-17,0.205497,232.21723763808885,450.8661249789441,143.67066439287518,200.78652181832047,0.0,0.0,368.3001022500056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.47575372719092,0.0,0.0
2013-08-24,0.205109,0.0,410.2121714125999,135.73942153349125,196.45692910055968,0.0,0.0,187.0536576346168,160.88680180816837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-31,0.180759,199.94533834873428,625.2691650561998,124.90671550296864,100.89020197617847,0.0,0.0,215.52123978223733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-07,0.143301,134.00887203325647,477.5675475773989,194.7748419875689,136.31231140841868,0.0,0.0,141.99211112895495,123.99856286388236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-14,0.203139,142.46781486119718,610.8737003049654,198.81952220428775,230.641954440556,0.0,0.0,331.63852415806406,121.37493806243212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-21,0.210647,302.1339181726313,630.689383734378,308.65932574938955,197.4356093465848,0.0,0.0,347.3583285433945,0.0,180.1168114317202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.00192247098614,0.0
2013-09-28,0.309438,309.4874633923167,764.5421207704452,364.5061762188439,0.0,0.0,0.0,543.3859162878639,0.0,215.72149287548157,0.0,0.0,116.16049670420024,116.16049670420024,94.52803656526018,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-05,0.569882,249.67411105474469,781.7749135677872,468.8409337214862,199.897554317209,143.4514092403199,143.45140924031992,503.53648860739634,0.0,184.14372900733417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-12,0.469106,339.13174486622427,878.0708312730653,419.79265825948215,262.5062175735838,0.0,0.0,548.7441430663719,0.0,261.62382280930603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-19,0.462509,239.399441159774,849.0244563867504,622.2683929441678,104.4698513207565,109.8440817339956,109.8440817339956,601.7400634130804,130.7165663949227,297.65008980320414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.53822992262243,0.0
2013-10-26,0.654889,427.9435522754847,910.033624094707,481.353366265884,231.4361463027828,0.0,0.0,517.0717411614435,123.33586970784548,255.880072586388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.33710434345213,0.0,0.0
2013-11-02,0.587889,310.1952329934329,786.1650443681309,422.791760466853,225.9690355061336,125.3410165871415,125.34101658714148,491.10502565588064,0.0,181.5987184062857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-09,0.39869,308.3287452119311,1017.0571965180444,460.8007505560663,173.12443510640534,0.0,0.0,598.3231357182171,98.34663219836072,103.45408501776144,0.0,0.0,0.0,0.0,0.0,189.8595599880165,0.0,0.0,0.0,0.0,0.0
2013-11-16,0.43734,295.27688307271256,1050.0809179904352,330.6427901532301,192.48882735526888,98.31114436174148,98.31114436174148,623.8417825935122,194.86822356120544,140.27855532723171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-23,0.334935,263.97889090843915,1018.687182631721,296.07123356896454,131.34841058235915,0.0,0.0,533.1541546286522,0.0,110.7419700876832,0.0,0.0,0.0,0.0,0.0,0.0,93.84180187690237,93.84180187690237,0.0,0.0,0.0
2013-11-30,0.858586,228.8203877189445,857.7012113957293,311.4303524548683,303.95585559183246,0.0,0.0,453.1343372215819,102.84481953829246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.21166002714084,110.21166002714084,0.0,0.0,0.0
2013-12-07,0.625286,342.6063404918648,851.0623396348245,390.5125541340565,289.8276107684291,0.0,0.0,689.3239491727657,117.82004890384304,179.5560295951441,0.0,0.0,96.58674409616296,96.58674409616296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-14,0.740157,435.60312362714654,1023.978186956304,493.5488803750973,419.22201760790864,0.0,0.0,587.0832686975424,0.0,141.48595336199227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-21,0.871776,557.7681566450208,1010.512713158394,687.1128832542607,487.6831794749361,242.9854388717786,242.98543887177857,594.6307798330871,187.36766792243768,199.98624447273707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.2697259760058,0.0,0.0
2013-12-28,2.24373,763.8357744439109,1103.5944605466866,955.8699934072704,914.8611094211744,298.8046304228421,298.8046304228421,701.2347724345558,231.1121220607108,199.62534646238933,154.05431571989052,154.0543157198905,131.81512200062002,131.81512200062002,0.0,0.0,0.0,0.0,144.83964019547997,0.0,381.3684233430464
2014-01-04,2.40189,1071.5279805117914,1440.5378807911145,1106.9941724337518,652.4730437896784,341.3792504928274,341.3792504928274,1015.5847105673588,213.282221010916,427.4133332440254,203.2635593680984,203.2635593680984,207.9223750747442,207.9223750747442,156.7819753415422,135.76005446428314,177.9275029953796,177.92750299537954,148.6362658423156,194.923655403357,0.0
2014-01-11,2.57345,2208.2360364664064,1685.5498010307851,2154.5957915961767,495.97313448465457,447.07030928521925,447.07030928521925,678.6133960555865,249.18433022855632,368.22970897108553,0.0,0.0,141.10531382573436,141.10531382573438,113.64809315855771,496.4650197792038,127.33064622945724,127.33064622945724,311.7986906276924,317.2317303301186,0.0
2014-01-18,2.15034,1376.0647101596812,1275.3382527691624,1187.386609645598,493.6439060661193,251.18656992639856,251.18656992639856,775.9361263385287,406.3401032917345,406.6645272750965,113.23330480542666,113.23330480542666,146.1619759049248,146.16197590492476,171.50237554793495,270.91427626515326,156.23729208367507,156.23729208367504,204.41139820706528,117.65785803518816,180.58533872973183
2014-01-25,2.37034,996.3618117061006,1216.0431125693194,1034.0869398975417,437.1324675945499,321.40170538951,321.40170538951,590.1552191879592,116.26387278961045,435.2423914194646,211.9694041032728,211.96940410327284,0.0,0.0,0.0,115.56637607419805,113.64704184647454,113.64704184647454,0.0,117.03172787927188,0.0
2014-02-01,1.72016,854.0629356937767,1212.7265940599764,876.8451080832917,411.3728933389049,293.9819638686172,293.9819638686172,559.0176618512916,353.5889976654545,252.69862779313536,0.0,0.0,132.62423052757745,132.62423052757745,154.39274339780707,113.95693842930396,0.0,0.0,0.0,0.0,0.0
2014-02-08,1.64107,656.4655280769962,1217.995592681593,508.677364319787,500.557216477234,0.0,0.0,556.0018168386501,477.1481401458144,180.5702212549131,0.0,0.0,0.0,0.0,0.0,258.2003146524682,0.0,0.0,0.0,0.0,0.0
2014-02-15,1.43451,715.3137270780474,1229.8293605977708,518.8552364747068,328.58127088340024,0.0,0.0,745.3415306132745,379.9174739976308,165.33036121055144,0.0,0.0,0.0,0.0,0.0,176.79133737201283,0.0,0.0,0.0,0.0,0.0
2014-02-22,1.51721,528.962137359568,1059.8932286707486,578.2246175373685,441.9821665591121,200.85480742764565,200.8548074276456,528.9030623062229,367.8955600292099,194.6154625875141,0.0,0.0,0.0,0.0,0.0,119.98466011540596,0.0,0.0,0.0,0.0,0.0
2014-03-01,0.580191,495.5256921593405,1032.9213485630764,430.1093239194331,305.2581517658681,94.3519504377381,94.3519504377381,549.9005946850779,313.8257149218692,0.0,148.84549880971772,148.8454988097177,0.0,0.0,0.0,0.0,0.0,0.0,103.30275397061963,0.0,0.0
2014-03-08,0.724638,445.1850105435022,1220.5193871245203,600.1873580633924,374.942983522029,117.36502270175106,117.36502270175107,386.473571951453,303.54499027131374,222.00198701923583,0.0,0.0,0.0,0.0,0.0,108.993023955865,151.9792984021552,151.9792984021552,133.2159198838711,0.0,0.0
2014-03-15,0.65596,292.161628090874,1251.061533924997,330.81767310870566,362.59203185852726,0.0,0.0,563.1331978002082,258.1186553782987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-22,0.856007,338.34196493224044,902.8336331792832,378.9607345028636,332.8686323135352,123.89571506054708,123.89571506054708,707.1370302144647,248.9167878387438,176.55793651437662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.90221961702916,0.0,0.0
