date,Massachusetts,bronchitis,cold,symptoms of the flu,flu symptoms,rsv,sinus,pneumonia,stomach flu,the flu symptoms,flu how long,how long flu,the flu,strep,strep throat,contagious flu,flu contagious,symptoms of flu,fever flu,flu fever,how long does flu last
2012-12-01,1.01617,636.6576936164158,8455.220132211018,93.1109733053668,466.9924931187572,113.64385176635346,1295.9275326171926,1325.3750519150512,207.7251866747936,0.0,0.0,0.0,402.7859667594276,1092.9090502900854,745.7199858742512,79.55348805002342,0.0,80.26609727086823,0.0,0.0,0.0
2012-12-08,1.61812,792.7725813550488,8099.183938472692,0.0,642.8618065685188,258.25345235329246,1368.3282904955618,1069.231488778937,188.34523127479065,0.0,0.0,0.0,685.2283428445928,1083.429268148002,831.3567779984968,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-15,2.06913,674.3545602910352,7872.922236492063,0.0,790.279261925977,338.07905587115994,1263.9223597660225,1408.9322463931346,129.99687935070085,138.81295903434517,183.08451168336327,183.08451168336327,635.9155298471616,1059.404885143306,686.192537570366,121.10391830893175,0.0,142.11337487144996,108.04469916313732,108.04469916313734,0.0
2012-12-22,3.07478,762.210295455325,8115.445550009283,165.69378709052887,919.2863024914916,384.4077171280448,1351.0014557052198,1270.3225181335408,323.5661434112276,246.98843353255643,273.6420037240959,273.64200372409584,1016.517678329004,1163.8959960725194,851.0799002698542,133.20525225305278,183.5973112736048,198.93265153183452,130.9562933044796,130.9562933044796,104.399618938391
2012-12-29,4.3606,1028.0005523588477,10121.214395906318,173.21250797533057,1580.4731522056718,453.6469761178582,1848.656409563716,1809.1176687049508,341.6599530940478,209.6272880230527,345.4584946529835,345.4584946529835,1205.2331997628382,1163.0544335731404,941.5867014194567,194.8203138711996,157.12352631634613,265.47232358834447,206.5551354857019,206.55513548570187,177.84539782123358
2013-01-05,3.0003,1411.212324163268,12427.216965480333,218.13202224699975,1805.5302698661324,462.0895809253187,1920.480352998324,2076.0427617619166,304.35830641325407,318.0732747281899,469.1411956317334,469.1411956317334,1608.3164633506517,1237.5937678387347,949.2928660654064,198.2777048082674,232.55313216805223,299.4869497249093,190.31736317650743,190.31736317650743,117.63632569904593
2013-01-12,2.57992,952.1577825846948,9614.69493900771,255.43732481128333,4364.356888326006,534.369180574608,1905.971180710196,1914.8243127906128,345.7541263072994,547.9862290738715,1036.7305069735517,1036.7305069735517,4829.291159331472,1247.164898025234,955.5626801108042,389.44787642334376,362.7590439127899,663.8379622716257,232.09847457554145,232.09847457554145,397.716785495419
2013-01-19,2.37227,727.1532245323139,8617.940368087184,369.1882873097282,3749.15697565274,441.99454144840206,1704.5618752146968,1454.452679843171,534.9349826043184,570.3708504901354,671.4076356714141,671.4076356714141,3689.2331956242633,954.9775341208629,725.2666464848389,291.2207431030154,234.48185326548648,728.9191954748813,267.1649869198692,267.16498691986914,167.41081425229208
2013-01-26,2.48898,818.5928010277518,12794.58295320695,184.21114581245044,1936.580383365341,450.3855156747066,1532.2649262565742,1435.9165177614068,496.89318579976185,214.06032997469268,350.67267633426894,350.67267633426894,1766.881959909052,1092.908707159906,709.7252242972436,0.0,0.0,400.1730056799893,128.40330857132767,128.40330857132767,103.86307967591216
2013-02-02,2.06795,731.48517972815,8610.342079169355,138.1797147795699,1378.331070277057,309.04769691400884,1412.6259731061298,1295.8514282418998,570.9507649216766,220.90917973513692,175.6539459944984,175.65394599449837,1188.9456798687174,1262.600375231343,904.2851256985734,0.0,0.0,355.8297733989673,218.5817503329301,218.5817503329301,0.0
2013-02-09,1.92758,545.7889040633094,8287.276737770511,143.4197099358449,967.3642119853764,281.05873579318745,1400.850741949252,1372.7289592496852,275.2243814883399,122.2695358191624,150.93340381449784,150.93340381449784,756.241037451945,1032.107144469271,697.4056484975592,92.18510048404376,111.86110616425462,166.26942397677567,87.31718474628539,87.31718474628539,0.0
2013-02-16,1.66667,567.9541639425772,8023.009262631593,0.0,611.9337452449369,389.3073687714607,1346.8503727428126,1049.214727280617,189.17291977280527,130.6304749694396,0.0,0.0,407.81399076146215,1182.6284237156117,830.1156382224989,0.0,0.0,167.4022530704151,0.0,0.0,0.0
2013-02-23,1.59041,540.0829390757432,7617.982981565396,0.0,491.1721370834362,402.2476657309375,1396.736549146147,905.5254992609348,240.95414882282464,0.0,124.69643956049086,124.69643956049086,390.3142855773603,1192.615263624402,764.5370391761011,79.95296039467459,0.0,140.3197939115334,0.0,0.0,0.0
2013-03-02,1.30838,648.2509852288449,7029.072641458945,0.0,516.2623513452601,292.5342342157975,1514.29843038334,1133.738077755404,314.66811479504173,133.1125881917475,288.11834824629364,288.1183482462936,596.6455545322555,1184.211511519729,774.423449921471,121.796817476617,95.48069875890036,116.32208276643708,118.46300977955244,118.46300977955248,82.84254458055646
2013-03-09,1.46923,606.4251185799139,6987.602224135292,0.0,351.0677233815468,236.00727201835755,1308.167481935767,983.623260945206,287.80476328417507,0.0,86.7436132820316,86.7436132820316,542.0183307854555,959.6220010749932,766.6272911943452,0.0,0.0,0.0,94.27082484444668,94.27082484444668,0.0
2013-03-16,1.40283,681.172415455658,7211.029675674008,0.0,412.1898540932062,231.31556893258357,1321.6839883705584,1069.9709063012506,239.3200618472278,82.00904344086817,159.6335125471015,159.63351254710153,529.1815122982665,1269.991658150029,833.1270465156255,0.0,0.0,132.0699641919548,0.0,0.0,0.0
2013-03-23,1.39068,545.182012908331,7528.256488337657,0.0,319.89644908588366,221.56335070501484,1506.9765916717852,1217.091297629113,100.34177121395156,0.0,169.6510182679118,169.6510182679118,452.0636934856059,1263.1709509031273,895.140121438295,0.0,0.0,0.0,91.79461814295898,91.79461814295898,106.61447184522024
2013-03-30,1.46828,532.07509040174,7579.251145243461,0.0,401.8592436439946,278.5181762985729,1397.3772418514425,1086.8959046062923,201.94102777844523,162.6649967177193,88.43888713980738,88.43888713980736,435.5612751209336,1464.3189620286096,1001.6121661097416,0.0,0.0,0.0,0.0,0.0,0.0
