date,Oklahoma,the flu,flu symptoms,rsv,pneumonia,how long flu,the flu symptoms,flu a,symptoms of flu,flu how long,strep,stomach flu,contagious flu,sinus,flu contagious,strep throat,bronchitis,fever flu,how long contagious,type a flu,flu type a
2011-07-02,0.175336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.871689912788,0.0,0.0,1529.9068210987198,0.0,671.8536163338343,0.0,0.0,0.0,0.0,0.0
2011-07-09,0.172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.3783235768938,0.0,0.0,1552.3552645687987,0.0,668.8004053552897,0.0,0.0,0.0,0.0,0.0
2011-07-16,0.106157,0.0,0.0,0.0,963.0159190055308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617.186797453351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-23,0.102934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.5088137990026,0.0,0.0,1091.7062717326926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-30,0.101317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-06,0.0507099,0.0,0.0,0.0,942.2536160909896,0.0,0.0,0.0,0.0,0.0,833.2902297924563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-13,0.0,0.0,0.0,0.0,835.0049825012339,0.0,0.0,0.0,0.0,0.0,1011.9190198587936,0.0,0.0,714.7316851178784,0.0,1305.3343833528138,0.0,0.0,0.0,0.0,0.0
2011-08-20,0.30722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0090586785182,0.0,0.0,738.9587182827808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-27,0.326397,0.0,391.9446448443062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817.2672269020983,0.0,0.0,508.62807360725566,0.0,466.35338174066186,0.0,0.0,0.0,0.0,0.0
2011-09-03,0.285225,0.0,0.0,0.0,866.7226340875883,0.0,0.0,0.0,0.0,0.0,610.4487602535517,0.0,0.0,935.2447875930528,0.0,754.8733728357656,533.6347566396854,0.0,0.0,0.0,0.0
