date,New York,how long flu,flu how long,contagious flu,how long does the flu last,how long does flu last,symptoms of the flu,the flu symptoms,stomach flu,flu a symptoms,a influenza,influenza a,flu contagious,symptoms of flu,flu cough,flu symptoms,flu medicine,the flu,bronchitis,fever flu,flu fever
2017-12-23,3.81194,255.08423241542377,236.26229786657797,173.94838660472067,73.52980601302211,64.8098394841355,73.08067471170945,109.67363080122158,368.9250826810226,64.63135514681834,46.1808160255174,46.1808160255174,155.28006183227345,107.82888047428654,87.31908037660217,683.7823847723133,89.32233226026155,874.3411422174211,929.7578083686018,104.0720272096044,104.07202720960444
2017-12-30,3.56649,357.51444846052937,305.49218965677903,190.7207179536569,84.43996680066175,94.61008094121593,87.75830698196236,114.8118670106624,519.8973991166076,61.36416100611581,112.120703209528,112.120703209528,198.54182305820055,217.52729006343145,0.0,870.5731261054489,88.33061356572682,1194.5158273370976,989.7617222954644,149.1175315278077,149.1175315278077
2018-01-06,4.55703,303.64155010014224,303.810169865109,153.7652891997647,85.69136123494646,120.94652357361568,82.09144543412238,115.4224144501073,503.5946914077089,76.76425758597419,119.784390534184,119.784390534184,138.4411697307092,252.91477168768543,104.47947541840516,1116.4209321202438,121.17402110758827,1219.343917902234,1041.1114474838375,159.1129532619224,159.11295326192237
2018-01-13,6.18262,518.8345523247789,510.1081567964703,197.44193954863,172.84873505366002,209.2635985167188,127.58207294224349,260.42265023594643,533.4027104985297,105.5101110753396,173.70529293748618,173.70529293748618,207.21320640536464,305.8716054529105,153.237591042639,1499.247797968316,131.40997654050747,1970.6504873473384,964.0497812368452,223.29834383366764,223.29834383366764
2018-01-20,7.40936,774.1924826285784,769.4312372118084,334.14829212819825,170.05095292725804,223.0686018321969,166.80163957995347,388.59108922426685,534.3930038727456,90.31018781794684,249.1077571082112,249.1077571082112,304.8143455181539,571.471986309677,213.1803250342697,2748.6251553708166,183.4369567456717,3492.396408505628,813.981939490891,351.07891939341863,351.07891939341863
2018-01-27,9.17524,997.7105667607062,1003.4356772448618,416.2556496622732,237.41498229774857,294.1703258240778,296.9066354857967,537.894932021,682.5644111999304,188.20796857026556,318.7785082527819,318.7785082527819,380.0359150715596,840.3347665203329,178.75811736183633,3410.6706672959176,196.12257872866195,4671.82491688348,853.2697469196517,418.6945254210965,418.6945254210965
2018-02-03,10.9383,1087.914142037601,1083.8781746214083,459.7936920238148,264.5491822440312,358.3402738515233,313.77918888350064,619.8625887100469,699.2745490653795,206.19647698969217,323.6340678388584,323.6340678388584,449.2918241671469,806.5830917957261,222.7913552521309,3706.411461990245,224.4549192586008,5330.333649599358,907.2498862640412,531.8480437688587,531.8480437688588
2018-02-10,10.6533,1024.5695610020907,1018.8406525497676,453.2363885276581,228.85669150343247,306.1347659480275,288.68945319485584,546.2161045561875,607.7092890685981,218.75444936265208,251.32774048551505,251.32774048551508,448.2896067408588,874.9593279189518,205.66326773870568,3725.453950940554,245.1164320651252,4920.999429319732,845.4118364951892,520.7133239321737,520.7133239321738
2018-02-17,10.3037,1011.035553701035,988.7396869657564,493.6827940351557,201.7286522204269,272.56351040269607,326.89533280887747,633.8676252277156,578.3262639954423,231.22523543636177,231.55804272810235,231.55804272810235,517.29699435767,853.532106790671,215.41019716284472,3674.0551139081294,222.858851498447,4703.755941099135,889.3633655648654,446.5948815630711,446.5948815630711
2018-02-24,6.97767,698.8487054500232,720.5195150888129,308.81958530278405,175.1868597413555,223.273558346604,151.55805937411918,354.01733125569234,459.2215436848289,126.32831102450128,188.0708448789964,188.0708448789964,308.3384715712048,452.19369930385017,173.9540265606624,1984.8278232137584,123.7568136284239,2582.2271994950856,765.5795094048691,323.8871695850327,323.8871695850328
