date,Minnesota,influenza a,a influenza,pneumonia,influenza b,stomach flu,influenza symptoms,rsv,flu symptoms,the flu,how long contagious,symptoms of flu,the flu symptoms,influenza contagious,flu how long,how long flu,strep,sinus,strep throat,influenza a symptoms,symptoms of influenza
2012-03-31,1.74662,229.6390739293556,229.63907392935565,644.5082501001207,0.0,208.8546895244805,0.0,354.21028338542607,292.91066656663173,0.0,193.72183545380992,0.0,0.0,0.0,0.0,0.0,976.3974409083472,1253.2133393227753,758.4030956342241,0.0,0.0
2012-04-07,1.91069,172.81814789971514,172.81814789971514,656.2765144361001,0.0,167.56093437065516,0.0,211.59013303163016,330.1432785459739,230.5070375593313,0.0,0.0,0.0,0.0,0.0,0.0,1225.2745596606596,914.78998452965,761.4272786819776,0.0,0.0
2012-04-14,1.55039,203.57856678301505,203.57856678301505,991.5283286749086,0.0,0.0,0.0,244.94827941271683,205.8682643001532,225.29222519275947,0.0,0.0,0.0,0.0,0.0,0.0,1434.3411051157489,1247.7221102639658,791.8306262858069,0.0,0.0
2012-04-21,1.27344,156.382873324991,156.382873324991,1024.3675615064174,0.0,0.0,0.0,0.0,177.22341658933763,229.417596785262,0.0,0.0,0.0,0.0,0.0,0.0,1186.1882315943146,1241.846169960509,873.9653198004588,0.0,0.0
2012-04-28,1.29018,0.0,0.0,947.4090225481956,0.0,0.0,0.0,148.07291332722,0.0,190.9600553668397,0.0,0.0,0.0,0.0,0.0,0.0,1310.146984253636,1129.378138052357,997.94400552319,0.0,0.0
2012-05-05,1.64442,0.0,0.0,1118.9310237531015,0.0,0.0,0.0,0.0,0.0,232.30002086879557,0.0,0.0,0.0,0.0,0.0,0.0,1226.839637721708,862.3536315616466,997.6491273139538,0.0,0.0
2012-05-12,1.76962,0.0,0.0,1072.186787288062,0.0,0.0,0.0,150.50985551341773,0.0,191.2272184137207,0.0,0.0,0.0,0.0,0.0,0.0,969.1949050959372,958.8405702373416,728.9072725956726,0.0,0.0
2012-05-19,1.36265,0.0,0.0,847.9010363076865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.5190875581625,1147.669996843195,946.2767189559264,0.0,0.0
2012-05-26,0.529942,0.0,0.0,767.977413798589,0.0,0.0,0.0,0.0,191.74437436184937,213.4667151111892,193.85063760772985,0.0,0.0,0.0,0.0,0.0,1116.1655096331774,848.8107774502781,871.133725388,0.0,0.0
2012-06-02,0.694225,0.0,0.0,760.8996867877657,0.0,165.49149255707684,0.0,0.0,196.7862675629609,171.3532041245282,0.0,0.0,0.0,0.0,0.0,0.0,937.9403546611892,691.696473636584,532.951384459801,0.0,0.0
