date,Michigan,flu symptoms,the flu,symptoms of flu,the flu symptoms,flu how long,flu cold,rsv,stomach flu,how long flu,influenza a,a influenza,contagious flu,influenza symptoms,flu fever,fever flu,flu contagious,flu a,is flu contagious,bronchitis,strep
2013-01-05,4.43242,1173.038897915755,1353.4921525410648,355.8567956322592,218.32968268831783,412.1955332274368,413.7512656319482,490.6269415059774,750.2847482725768,363.1134725575069,243.6065665920282,147.63408167923978,204.7509174779519,0.0,0.0,0.0,0.0,539.3715234219028,0.0,1296.2101953545148,1051.557324172217
2013-01-12,3.87657,2646.925181451873,3459.041616638019,374.81790408331153,405.2438370023244,645.3080212130556,500.9399608191185,454.2501720524062,710.8645433810534,638.9043022376296,216.16974026576517,208.10678885303312,183.51697788466615,215.4447961884935,217.81947275796236,217.81947275796236,228.98454378548172,1509.28821390794,92.87467236831444,904.2188741485932,1003.0763742878332
2013-01-19,4.07978,2438.994101187869,2777.8683743448246,536.0483986959212,527.575151325002,465.9008858717959,428.2965384264068,516.3578815063321,612.9415815091785,445.1967485173205,84.17479662071116,123.23986181076648,219.0563303619224,153.7570660456002,123.36963827744,123.36963827744,178.0333977374303,869.5490539779296,0.0,743.097840102186,908.813941678311
2013-01-26,4.42058,1623.2194035977889,1686.9990578533775,393.1876336949066,199.26461076943127,392.298967931883,324.672957187646,795.8084588853184,743.3570102374454,368.0250157756329,220.80267129695883,130.352135205616,236.54919783820023,137.0717002314216,228.3367426587917,228.33674265879168,272.0556549186818,505.9936091305028,164.55681350774293,801.2804901038566,1064.075525956806
2013-02-02,3.39719,1375.6183504706985,1455.0793444151132,339.6657831975057,269.7364911230637,274.2871238870906,185.17868974720636,697.4106648650223,627.9744415586565,292.2056759112574,192.2746213190516,205.0437942117533,174.21434183134312,0.0,118.39803108305983,118.39803108305988,181.3564149116679,367.785114378079,95.98351496039284,894.8809597055146,1017.7551190091316
2013-02-09,3.4188,919.1234666125654,929.583035688054,291.5137023312008,179.7439079558692,183.36231904989305,211.838737714667,739.2864818585838,637.2876896730327,171.04480176925222,129.44573544802768,191.5779678718877,115.51146092699284,87.7800303181246,0.0,0.0,137.25027166956903,387.5073490591557,0.0,692.6059985661132,1211.884068256673
2013-02-16,2.95892,731.268123650827,934.707571029476,190.2943139749236,154.6710580204413,253.2246847679162,200.68760836350975,593.4559800110798,484.8859179951159,304.8173196636543,0.0,0.0,100.67621261515178,0.0,165.0376800704143,165.03768007041435,110.4848320010464,332.2819926066222,0.0,766.2055153598031,983.0867449604876
2013-02-23,2.66819,814.3732780465801,1040.0547025837295,208.271431422456,271.419517775219,227.04930508569817,198.62335892286168,598.3914383728193,525.7814774291278,140.15168016523046,0.0,141.24169055946123,0.0,106.94022626749314,0.0,0.0,0.0,275.46903704609434,0.0,741.210175762687,1140.931309127766
2013-03-02,2.69076,565.8178489288956,744.6868035055019,169.35031398245928,155.87194714189934,183.0067327852389,178.68584142091956,629.9191390421943,391.2760256642957,187.7677677848955,0.0,0.0,0.0,0.0,0.0,0.0,92.2238532505097,176.61432323058227,0.0,756.5652971562749,1321.0233690677142
2013-03-09,2.39333,481.3725403822341,788.0394628311169,130.61664646545233,181.8955584149067,181.92125762652609,166.82998580178517,529.9167393596038,335.6031618836648,207.50273636348075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.27595992665393,0.0,808.766719049735,1002.8680511257456
2013-03-16,2.84375,512.0648080615679,736.8552491496911,171.62166114657995,131.69601882493245,106.2203311860404,158.69239576488383,343.1363960917696,373.5219359940641,0.0,0.0,0.0,0.0,100.74210399391258,0.0,0.0,0.0,261.1119568514574,135.12571943042823,551.4559677393587,1350.5033808172543
2013-03-23,2.46751,465.1919983303848,681.1539672817146,171.72091031167733,0.0,0.0,196.76783423800447,423.58152309639735,548.9656011573645,0.0,0.0,0.0,0.0,93.1394369761262,0.0,0.0,0.0,196.06986148399503,0.0,719.10263807988,1152.1736914065482
2013-03-30,1.98939,354.97368511960605,619.8558336989282,0.0,0.0,155.57387103994895,0.0,332.0588054552008,439.4903960756153,235.3685626304068,0.0,0.0,99.18968064953566,0.0,0.0,0.0,0.0,176.3010716037241,0.0,711.7756824994699,1038.8553271478893
2013-04-06,1.79514,464.4134757794674,584.185388120158,0.0,0.0,230.10437183340983,0.0,207.0294883814935,684.9707688288061,229.6782983583066,0.0,0.0,0.0,0.0,113.73390232278688,113.73390232278685,0.0,101.29279192755858,0.0,740.4764625115228,947.2161091782574
2013-04-13,1.58921,497.76319534448686,566.2019836068924,155.0120541133574,116.23330380315237,94.8517193945728,144.75529157779297,300.2477752316935,514.8457553474171,116.702223271982,0.0,0.0,0.0,0.0,0.0,0.0,124.90284462699226,169.2543556782162,0.0,676.1462824638825,896.6996238625406
2013-04-20,1.47816,403.97241490370607,507.54506429969206,156.4878420808916,132.7853846310886,126.21975939763314,136.10429071272958,201.6243142705519,207.14983298785256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.34311284634632,0.0,602.4830252463203,1059.9474880970529
2013-04-27,1.39788,327.4826897018376,415.2662754444616,0.0,0.0,119.00467910493288,0.0,194.30933618858293,326.32341083670593,0.0,0.0,0.0,0.0,0.0,105.66637659810912,105.6663765981091,0.0,0.0,0.0,588.2455553178205,1022.9321699774516
2013-05-04,0.989528,166.45877554155675,215.5053688247866,0.0,0.0,113.37149100136058,0.0,106.23021991791302,289.02243599374617,110.46741268312876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.4077390259636,1030.5530528608033
2013-05-11,1.32419,198.6527161921251,128.98682356458266,0.0,0.0,0.0,168.34983325795858,0.0,182.4637513695012,0.0,0.0,0.0,144.34653402512703,0.0,0.0,0.0,0.0,0.0,0.0,513.4619040207592,918.0372280625722
2013-05-18,1.11895,131.90485516345626,287.74514457767395,0.0,0.0,0.0,0.0,134.54656082111822,176.16178020438196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.93804689106832,0.0,325.9031732102555,1082.3410924111963
2013-05-25,1.31349,167.860724069452,217.36755604229376,0.0,0.0,0.0,0.0,121.91999086577114,123.64385794058424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.07380156782634,0.0,516.956720108372,1073.311911091282
2013-06-01,1.74044,139.45543282950527,241.8580375884329,0.0,0.0,0.0,145.2173655548914,0.0,274.53501071273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.7607613035402,788.629088968121
2013-06-08,1.5665,131.51886214625063,202.92554634468823,0.0,0.0,0.0,0.0,0.0,149.8122042944431,0.0,0.0,0.0,105.68480332075492,0.0,0.0,0.0,0.0,0.0,0.0,451.9808929986469,944.54227713382
2013-06-15,1.17882,158.5040197380876,264.3748279551193,0.0,0.0,0.0,0.0,113.90106926961518,277.39799822781094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.9623354625753,0.0,416.9457996760604,991.7166993110026
2013-06-22,1.56589,0.0,253.88314482360096,0.0,0.0,0.0,0.0,0.0,111.59776903039123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.5869973967755,754.6343379154682
