date,Indiana,stomach flu,rsv,the flu,flu symptoms,influenza a,flu how long,how long flu,symptoms of flu,pneumonia,a influenza,strep,sinus,flu a,influenza symptoms,flu type,contagious flu,flu fever,fever flu,flu cold,the flu symptoms
2014-08-30,0.369004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6311157950389,259.18850580908503,1067.0572845944157,1561.9838160209215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-06,0.474244,0.0,264.68248533042515,244.5073660445376,0.0,0.0,0.0,0.0,0.0,860.6809057776359,0.0,1181.6915294689652,1304.275014339874,263.50097119549685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-13,0.484922,0.0,0.0,415.7034243650555,0.0,0.0,200.3872001729817,200.3872001729816,0.0,935.113950406284,0.0,1050.7901746398486,1166.4349034036882,364.0073085563725,0.0,0.0,347.4679436165452,0.0,0.0,0.0,0.0
2014-09-20,0.585097,0.0,0.0,408.6923366629435,205.07744867176805,0.0,0.0,0.0,0.0,1175.0944192213342,0.0,1047.5434609650829,1319.8190994774222,242.65238990592383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-27,0.459297,0.0,0.0,300.5164868941523,287.56596935366923,0.0,0.0,0.0,0.0,1147.4878866216238,0.0,1204.0541481733037,1501.6457193753686,239.80887922638797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-04,0.514369,0.0,0.0,562.4891353669251,373.3525894137399,202.4239505959518,0.0,0.0,0.0,1117.3719608459176,0.0,1048.5626328928652,1347.3988012028613,555.7398238204356,0.0,366.3029304602305,0.0,0.0,0.0,0.0,0.0
2014-10-11,0.791997,274.8950001325419,0.0,537.4043436640717,342.3244140354238,0.0,0.0,0.0,0.0,1282.6636290015724,0.0,1101.8377466906431,1214.0306170311192,612.470493924477,0.0,0.0,0.0,0.0,0.0,259.4044441173908,0.0
2014-10-18,0.688047,222.0715871470107,0.0,901.3169912169376,691.8422805906786,0.0,0.0,0.0,0.0,1521.3419765067797,0.0,1001.7054564229552,1050.91907753734,601.9967447830887,0.0,0.0,0.0,0.0,0.0,234.2818862570566,0.0
2014-10-25,0.755814,0.0,0.0,764.4802187549913,371.1375936579575,0.0,0.0,0.0,0.0,1567.110183011203,0.0,1163.0069303339774,1566.2613726136046,656.3721737961699,0.0,0.0,0.0,0.0,0.0,255.8717388308484,0.0
2014-11-01,0.694664,0.0,247.4397020289477,590.364896597624,395.8579833395392,0.0,0.0,0.0,0.0,1088.5893264292574,0.0,1072.36709943767,1505.1870128469582,288.121692486924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-08,0.829048,191.1128822558654,0.0,804.688437729979,421.0352093790303,0.0,0.0,0.0,0.0,1324.9598980911792,0.0,1245.6251653381173,1698.75830254648,470.1369873837773,0.0,0.0,0.0,0.0,0.0,205.9926501501501,241.61186726240825
2014-11-15,1.03026,193.52054280306496,0.0,547.3624657898264,306.38165400119163,0.0,0.0,0.0,0.0,1476.3062281874425,0.0,1384.9533656547287,1705.2405245727834,238.9354452366832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-22,1.86797,311.322917631842,209.8328078120661,519.6454423678093,363.937181665961,238.04801212605813,0.0,0.0,0.0,1201.6324434638104,0.0,1292.0639654826375,1396.7497976227255,263.68274929170576,0.0,0.0,0.0,244.8289242121409,244.8289242121409,0.0,0.0
2014-11-29,2.31533,238.31154129216696,0.0,465.50239059222815,783.5353930935445,213.40104004628253,0.0,0.0,0.0,1233.7499034595587,0.0,865.6891902010384,1337.4515646501325,476.4655110228148,0.0,0.0,0.0,432.2160189729372,432.2160189729371,557.358309891739,0.0
2014-12-06,3.45071,462.0386975776738,287.6573798734175,916.5604155977198,731.7807517302339,280.3809850513344,0.0,0.0,341.61818588357744,1571.669726690592,242.23250899972672,1274.2908869295734,1588.3612816810048,445.405708548735,0.0,0.0,0.0,0.0,0.0,300.3498497846388,0.0
2014-12-13,5.63278,292.7776860508824,227.6880747418454,1489.6844267372735,1230.717497844446,511.4184539967981,196.91426650055527,196.91426650055527,263.6036004081551,1662.0012938865823,550.7861905981717,1147.1194392289135,1474.8508350725745,748.9987671181132,224.66464873189423,0.0,0.0,223.09771953275475,223.0977195327548,0.0,292.09657995016795
2014-12-20,7.04394,597.1048015489505,428.2587565211487,1798.804764426737,1789.5085411114435,685.028206309317,810.4190533182216,810.4190533182219,520.219353029695,1762.1712017986513,949.4770639889898,1245.5872922839335,1540.6423964149192,915.6723157998948,322.3681032694759,364.7740345526277,0.0,289.50520971774165,289.50520971774165,519.2621150725032,276.73910577882185
2014-12-27,8.96499,962.243182407267,622.7323685664016,2161.37765643026,1752.511028511119,511.05463497587294,686.6391020413237,686.6391020413237,547.3165412691817,2337.2237709130977,410.4291914576135,1379.0504412274004,2160.0271816788604,657.8239492734646,380.6344841511167,0.0,742.0477433437235,535.662792238036,535.6627922380361,412.2082919221216,271.83014370580844
2015-01-03,5.2339,678.6830139445698,790.2769542198319,2229.414085665121,2241.588569338941,302.88850822966134,358.7789020911341,358.77890209113406,423.88694156344553,2010.0747369084431,276.50642153125045,1511.2121306417446,2006.9759176563248,628.8858412690788,0.0,0.0,0.0,0.0,0.0,630.8605172003914,542.717097751698
2015-01-10,3.40893,558.1495075791595,264.77920286184366,1361.9969151398775,1594.510844765106,475.3227973226379,370.47842280168817,370.4784228016882,281.34782782703223,1705.5964610971955,442.5336671563214,1193.2848675519815,1853.6259920877876,716.8053535890344,244.1812893652829,0.0,0.0,0.0,0.0,347.81564541816766,272.64179644960484
2015-01-17,3.31008,477.9780514988426,513.6927710372324,988.8328485734564,1085.925782174374,237.1503324648184,487.08295985000507,487.08295985000507,0.0,1399.453231222028,0.0,941.3494141681985,1815.017498975264,447.5525557685396,0.0,0.0,0.0,0.0,0.0,0.0,299.8390990114014
2015-01-24,1.99163,547.6465621788777,677.5288575851381,836.6465344781608,739.028603816124,0.0,292.7131362044844,292.7131362044844,223.29909713107244,1319.038975044765,0.0,941.4305617317634,1333.6779735664868,242.82875590217367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-31,1.77683,544.8941187615089,893.5677106680306,1075.098866874088,1079.5220597531802,0.0,228.08523313833885,228.08523313833885,297.9834533492846,1283.930998928695,220.5268492542932,795.2780061357356,1359.8955258183537,482.7553170689532,221.8460871487168,227.4944544422172,0.0,218.35006016223625,218.3500601622362,298.6737920256938,214.55832998074783
2015-02-07,2.11786,343.5647876427637,1096.7446699315008,543.5183775119912,327.07138192256747,0.0,0.0,0.0,0.0,1375.1644938189374,0.0,1297.1615664751205,1542.597610716365,0.0,0.0,0.0,0.0,0.0,0.0,291.287289720658,0.0
2015-02-14,1.92823,435.2123779187098,1007.1821792417784,699.6561224693551,662.777678067443,0.0,261.4903158494389,261.4903158494389,574.9217703960805,1544.9146763671597,0.0,1321.1812846108696,1712.891219328356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-21,1.52127,452.7138609219312,733.2399171569233,824.5544297315641,487.8142952519207,0.0,0.0,0.0,271.53198134489946,1304.400672457553,0.0,1389.385872738727,1705.6652440991015,0.0,0.0,0.0,0.0,335.8819404482471,335.8819404482471,245.66055460379903,0.0
2015-02-28,1.25375,466.07208129638383,627.9703942474973,680.2239914267744,363.54100342240974,0.0,0.0,0.0,0.0,1344.2723808665955,0.0,1411.3396157732536,2043.302318878592,209.18413766671185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-07,1.39993,351.8220877388112,687.71891747757,404.1567252757969,374.6656524148664,0.0,0.0,0.0,0.0,1732.660080036274,0.0,1518.8768622502512,1629.1907973296356,229.3135713338179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-14,2.06722,634.7251000448773,323.7240522079435,866.3859155422967,385.2274494566669,0.0,398.9665101152867,398.9665101152867,0.0,1266.6085569256854,0.0,1295.7777155571102,1662.0889023190907,0.0,0.0,0.0,0.0,0.0,0.0,248.6535344597743,0.0
2015-03-21,1.6775,465.5404359803144,430.2685899261502,544.0177122945896,473.804889872988,234.233413761932,238.4823684000121,238.4823684000121,0.0,1479.3365244584604,232.8747438585172,1014.6733994574588,1579.9793716705688,0.0,0.0,0.0,0.0,0.0,0.0,224.9082515976854,0.0
2015-03-28,1.28052,533.2799800921871,305.37259666382994,796.5158719457426,619.3272917975357,0.0,0.0,0.0,246.57623186426704,1505.4929334732187,0.0,1130.5222020999925,2248.6594304319706,347.6439664571276,423.96050388819305,0.0,0.0,0.0,0.0,315.4904830096734,0.0
2015-04-04,1.40811,415.33130961592445,388.2704527451828,661.2007824652204,421.3779099677069,0.0,0.0,0.0,261.9399224028024,1367.8903510371306,0.0,1203.9314757324034,1797.7803437151497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-11,1.33264,280.46123759425734,0.0,463.9268286565199,533.0937029973294,0.0,0.0,0.0,0.0,1242.330167329238,0.0,1245.5049491671584,1435.675818380804,216.55716296168515,0.0,0.0,0.0,0.0,0.0,296.3483237016337,0.0
2015-04-18,1.21816,228.1721318361141,0.0,351.0798315991967,559.0275603672144,0.0,0.0,0.0,219.5672185072009,866.5960591405222,0.0,1104.2311002406334,1449.8316609096275,259.55412562928973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-25,0.874788,253.254458773064,241.62395286358915,403.0624953347669,445.3204991734861,0.0,275.12310709757304,275.12310709757304,0.0,975.6893767520276,0.0,1243.341285185065,1721.257945548638,332.761364038022,289.80159832261785,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-02,0.983243,0.0,0.0,453.3925893566178,434.2640483535741,0.0,0.0,0.0,232.98599573628255,1587.9727239528054,0.0,1531.0060550853077,1535.9434342450022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-09,0.669303,216.4653760619169,0.0,0.0,311.93789472080954,0.0,0.0,0.0,0.0,1205.6284225879313,0.0,1022.4093816893968,1810.126693192368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-16,0.719424,0.0,299.5301200149178,259.75139601424723,234.0746096268965,0.0,0.0,0.0,0.0,1298.02517038438,0.0,810.3732876770334,1134.8404477299468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-23,0.590688,0.0,0.0,322.2662954907126,0.0,0.0,0.0,0.0,0.0,810.7271097333194,0.0,898.4352044132819,1253.3549457436934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-30,0.738477,0.0,0.0,275.3898841883265,276.2104016876376,0.0,0.0,0.0,0.0,515.4218498201324,0.0,959.1410081228248,1434.1435133479051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-06,0.463897,0.0,0.0,498.9409542252296,0.0,255.7757930155506,0.0,0.0,0.0,791.5192462482528,0.0,885.8722794742785,1217.6996669940336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-13,0.299103,0.0,0.0,365.74166422574456,0.0,0.0,0.0,0.0,0.0,871.6586127124696,0.0,1056.7615476512867,1249.921832058967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-20,0.6492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.6759136626024,0.0,773.0163859864599,810.3056214601903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-27,0.656685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.200504632552,0.0,746.4287637235778,958.98259446598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04,0.679785,251.41227891823988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.1594308758812,0.0,1168.9733815563598,1119.2731411153757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11,0.681886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0876727934949,0.0,830.8352239658028,964.3700087392637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-18,0.245834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0274490856561,0.0,868.8122724923057,1053.554556819755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-25,0.332396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0089477220013,0.0,730.2300505667197,1244.9823017221918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,0.28616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.8210311658066,0.0,733.4501636916834,1083.1491314505688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-08,0.434227,0.0,0.0,258.9996916618887,0.0,0.0,0.0,0.0,0.0,836.7567263738139,0.0,846.8070548829463,740.8539819217609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-15,0.599486,0.0,0.0,0.0,257.2528998469389,0.0,0.0,0.0,0.0,655.3118207372602,0.0,874.4476953953991,994.7600685297016,0.0,0.0,0.0,235.49356204212847,0.0,0.0,0.0,0.0
2015-08-22,0.660418,0.0,0.0,0.0,401.06504943260825,0.0,0.0,0.0,229.21876498881605,582.3699165475708,0.0,1133.3228765893027,851.2234524036421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-29,0.874126,0.0,0.0,290.94605478178795,0.0,0.0,215.50760776259384,215.50760776259384,0.0,895.2622149881159,0.0,1156.0277786164377,1444.694698569824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-05,0.598679,0.0,0.0,0.0,212.86083520624004,0.0,0.0,0.0,0.0,991.2164874673769,0.0,987.5264852318676,1436.1897261623074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.6533565253096
2015-09-12,0.86145,302.9411516799084,0.0,425.49840719043937,234.64480970023757,0.0,0.0,0.0,0.0,954.5096420543816,218.1980855706131,1007.9213720304078,1296.1609250454574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-19,0.847637,219.006577978782,0.0,372.06235651336135,371.6217964472239,0.0,0.0,0.0,0.0,1168.5657619737751,0.0,788.2432090134428,1571.8736153788216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-26,1.11996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323.104065582066,0.0,1358.895692977616,1469.7249276213367,338.2103309606891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-03,1.21769,223.9867445326534,0.0,554.3009271813513,292.19512474089686,0.0,0.0,0.0,0.0,1173.4905850656862,0.0,1062.6100295134938,1331.8881790373352,316.9195608859142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-10,0.923388,0.0,0.0,496.60078090559256,538.7824446084265,0.0,0.0,0.0,0.0,1774.9727367481028,0.0,1229.2364115439923,1361.809468091053,451.001435681751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-17,1.1695,495.7692664276199,0.0,592.303471327817,332.574453842544,0.0,0.0,0.0,0.0,1448.2006839738303,0.0,1089.3775012971562,1406.0644813845472,597.1746841078809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-24,1.07755,0.0,234.90084947674032,821.3106164194194,321.69604465234204,0.0,0.0,0.0,0.0,1454.6627057280302,0.0,1019.8189134550114,1519.547634826787,517.5998085417061,0.0,0.0,0.0,0.0,0.0,281.8270272971196,0.0
2015-10-31,1.18121,0.0,212.0476168145606,882.9511084192958,308.47358283791704,0.0,0.0,0.0,0.0,1463.6746799542032,0.0,1038.1372148874327,1158.835815060163,323.6393977062904,0.0,0.0,0.0,228.3349160756599,228.33491607565992,222.13045258962808,0.0
2015-11-07,1.10347,0.0,198.9537072343105,669.6088667656563,285.49315597306764,0.0,0.0,0.0,0.0,1909.679927892607,0.0,1181.763891207383,1508.2080638095902,477.8095562049371,0.0,0.0,0.0,196.59857600371728,196.59857600371728,0.0,0.0
