date,Vermont,flu symptoms,the flu,how long flu,flu how long,symptoms of flu,influenza a,bronchitis,the flu symptoms,contagious flu,a influenza,rsv,flu cold,flu contagious,stomach flu,flu a,pneumonia,flu fever,fever flu,how long does flu last,sinus
2011-09-10,2.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2192.624364890878,0.0,0.0,0.0,0.0
2011-09-17,2.17391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-24,1.10926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048.4514627281173
2011-10-01,1.27728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2063.351776497759,0.0,0.0,0.0,0.0
2011-10-08,1.43991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-15,1.52211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1758.555149411943
2011-10-22,1.06132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.6816885950036
2011-10-29,1.23529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2047.1978129795305,0.0,0.0,0.0,0.0
2011-11-05,1.66756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-12,1.29151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1713.6011018644854,0.0,0.0,0.0,0.0
2011-11-19,1.10277,0.0,2123.4965055121597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1782.040328089034
2011-11-26,2.11538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-03,1.84139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-10,1.60576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1693.4053545939576,0.0,0.0,0.0,0.0
2011-12-17,1.58254,0.0,2395.738484691618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-24,2.23263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2696.557741747209
2011-12-31,2.79251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07,2.18978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2128.205158444701,0.0,3542.5336539658306,0.0,0.0,0.0,0.0
2012-01-14,2.66864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-21,2.09581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616.6780892403572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1806.4076650823888,0.0,0.0,0.0,0.0
2012-01-28,1.97239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1653.7499921804604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1838.893389418365
2012-02-04,1.82735,0.0,0.0,0.0,0.0,0.0,0.0,1705.212612800229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916.6222020708049
2012-02-11,2.17941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1732.0010341862649,0.0,0.0,0.0,0.0,1664.3110878138862,0.0,0.0,0.0,0.0
2012-02-18,1.73134,0.0,1635.556707169777,0.0,0.0,0.0,0.0,2737.023858215516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1739.1599786584638
