date,Virginia,flu how long,how long flu,flu symptoms,the flu,bronchitis,contagious flu,flu contagious,flu cold,flu a,symptoms of the flu,rsv,symptoms of flu,the flu symptoms,pneumonia,sinus,stomach flu,how long does flu last,is flu contagious,flu incubation,fever flu
2016-11-19,2.05058,0.0,0.0,357.49389102797164,397.8511637375362,862.7650169002692,0.0,0.0,151.872143751567,223.5440864336316,0.0,138.3670345338078,0.0,114.36031308089738,1195.6776865551235,1407.255965214937,183.41432388766304,0.0,0.0,0.0,0.0
2016-11-26,2.29704,0.0,0.0,310.1917694784253,354.50725478363245,809.9362262586002,0.0,0.0,115.01289448328512,206.9525685774102,0.0,268.63457057767897,118.24623172926886,0.0,1246.242545789585,1486.5490861096532,291.92846070137807,0.0,0.0,0.0,0.0
2016-12-03,2.15431,105.68903009574726,105.68903009574724,390.152087716722,443.26866163413627,637.6511665182634,0.0,0.0,258.67852704833336,218.68387036307817,0.0,333.0363741314732,0.0,0.0,1291.0882623486357,1560.0520985378414,171.3841115785164,0.0,0.0,0.0,0.0
2016-12-10,2.22633,202.7356798988071,202.7356798988071,346.5091334574734,389.1381265862171,882.4900856818311,72.87319631495524,72.87319631495525,117.74222319251948,267.5894201433826,0.0,326.9385435231498,70.2888581195753,0.0,1243.2279936080122,1544.6072614108884,334.4562742768067,0.0,0.0,0.0,74.70980376033792
2016-12-17,2.31392,99.5699586382918,99.5699586382918,407.8394879538713,459.3728529691418,727.5044961286917,78.30374384831627,78.30374384831627,192.7359401585294,259.8765840753345,0.0,530.4055386244967,0.0,0.0,1107.9670472398343,1644.8053050872284,449.9903618659748,0.0,0.0,0.0,0.0
2016-12-24,2.89868,139.7616701905467,139.7616701905467,412.322464498282,608.381225511151,760.5771576628518,118.51838959342182,118.51838959342182,258.2980910795527,239.8461506240157,0.0,607.751464706141,0.0,130.28318650662877,1230.469624147014,1872.606075358924,405.5202894991784,0.0,0.0,0.0,92.73144068597476
2016-12-31,3.4293,198.4676034738755,198.46760347387556,662.3906432533541,705.9203541384584,979.9346961506412,120.3187328634136,120.3187328634136,224.0651061168076,308.6574131481431,0.0,602.0250783384333,129.24436250021395,97.9628890830176,1326.505462529322,1971.0602802427325,564.3525101924033,88.2059038822528,0.0,101.87030533303653,182.4795223889742
2017-01-07,3.18906,251.98859165163387,251.98859165163375,745.5347283104325,967.635729016802,961.3157045036183,150.3828542655091,150.3828542655091,265.03343929707995,318.78449567833667,0.0,606.9899521892293,114.66593271289784,102.38787458502586,1427.796904222581,2219.1920945150205,485.3405908809172,75.6559299098977,104.46217626520284,0.0,86.1639752908729
2017-01-14,3.36477,139.00158176929952,139.00158176929952,612.1771581484975,649.4857923464514,900.1920010839528,0.0,0.0,255.15056920566008,360.1499755723823,0.0,603.0771671166282,147.0036957425865,0.0,1231.7136188024804,1798.8202989766155,429.165580677005,0.0,110.76921203820405,0.0,101.20557790677644
2017-01-21,3.19863,166.4110599870862,166.41105998708622,592.6794244131772,749.6309919575832,803.1919654137032,199.4412409593292,199.44124095932915,306.8056922614291,311.66155897229066,86.50788776057057,531.7722404504157,191.9771227932094,0.0,1258.2611373461864,1750.2142682090314,341.92619898271585,0.0,0.0,0.0,81.75318239127546
2017-01-28,3.30228,201.50116083011,201.50116083011,656.5800732355725,802.5174029891735,910.6043762025242,76.6795432081491,76.6795432081491,284.0342891499038,325.46040724522805,0.0,514.4072442761341,101.3612410703272,88.26051854036645,1226.1142824682845,1658.5854481658723,417.6929339127647,0.0,0.0,0.0,89.08330511483794
2017-02-04,3.73817,318.56721297068043,318.5672129706803,671.005776123562,1066.9853515506304,747.2730863778639,174.9115516648883,174.9115516648883,261.0425214751445,407.849990146555,94.3334287323961,544.2843831220539,170.6803548707689,121.21557612531916,1251.825036591756,1867.00982108775,501.6554297618712,160.0135409827293,85.48459903051115,0.0,160.9869077194603
2017-02-11,5.21859,415.4298324425504,415.4298324425505,1300.5222806783934,1653.6888147431948,585.034456376723,174.09969866449256,174.09969866449256,422.3435905438352,533.1865395255512,219.31548452286464,599.4723312586899,298.0595099105216,312.98537966608615,1275.7989050292697,2025.348719295181,488.1552707333898,133.87878552873673,0.0,0.0,173.3849868629391
2017-02-18,5.8855,411.32830258712943,411.3283025871294,1489.8130100791166,1668.8674250459944,808.0741438048768,162.5097504409137,162.5097504409137,348.3404679920248,487.9375904637716,223.13971128700888,338.00542401792853,305.058112598778,301.7575727968237,1319.538315407366,1950.3339811624696,618.4712926311453,160.7694796963928,97.55137708134733,90.34031936797854,237.44947305817095
2017-02-25,6.67057,592.4951577308693,592.4951577308694,1406.7627791054313,1734.6615793249323,1047.7701574128284,244.3768641105394,244.3768641105394,424.1522400626404,695.9855912609087,281.21609268578163,293.7246472636148,323.8903633741599,337.69707993810493,1381.0757648090687,2183.422949898942,450.7932932210812,195.25406623848568,152.66250708661516,111.0155547752023,234.94262663764383
2017-03-04,4.02646,359.63158753553773,359.6315875355377,995.2520609329844,1407.2214407086065,732.3563700568603,218.5148194732707,218.51481947327068,302.36927348192205,575.0531355389344,179.80901379756216,248.352270302914,261.6978812275126,158.44548618311396,1316.402585859959,1668.9202770010145,397.9523645230768,138.68249104874045,137.7891969828312,0.0,161.50384589046269
2017-03-11,3.60225,289.32001967469694,289.320019674697,785.8310038402466,1060.2547192489303,809.7721753756094,120.57253354222416,120.57253354222416,144.53703711814558,498.2104275445519,174.51697400807416,291.1182609357508,202.09255001966525,177.22876463418862,1152.8831759840502,1774.7828014106549,323.18483554456634,0.0,67.73743052404713,0.0,279.803125589019
2017-03-18,3.60761,297.87556469629243,297.8755646962925,724.2515146131034,1073.1655328219588,623.5248510313255,169.41668812564518,169.41668812564518,238.8169305087617,417.1821294404716,126.3951226750274,171.88530127895078,190.53919864496663,144.0948824829609,983.8948335035184,1644.5963509868805,330.92769109214504,171.47776281017116,78.73239089560595,0.0,95.6918511210991
2017-03-25,3.86367,361.7293991817785,361.72939918177855,711.7743050835909,1291.5248745036783,840.3952521985947,213.976629353258,213.976629353258,164.5510221226783,407.2203176430152,182.1442436054864,233.2152290302931,174.18459343342383,213.583767782322,1101.5169692054662,1788.698744482125,322.85772842661504,111.60412074747978,149.24895617830302,0.0,147.3034043377552
2017-04-01,3.80323,276.23313927712945,276.23313927712945,766.9131923379932,1084.755166960762,869.8615175919871,129.75648595937847,129.75648595937844,116.78404187911906,492.1468757580434,132.07657873768125,137.46841725328918,218.06416453516468,167.2484406366775,1006.3903560812928,1502.1033791645775,342.766202842641,87.02877699900023,0.0,0.0,202.5256874227566
