date,Missouri,rsv,cold,the flu,flu cold,stomach flu,pneumonia,a influenza,influenza a,flu symptoms,sinus,how long flu,flu how long,flu a,bronchitis,influenza symptoms,symptoms of flu,influenza a symptoms,the flu symptoms,how long does flu last,contagious flu
2017-05-27,0.18797,131.49199626009676,6806.830125374014,248.53461855835667,0.0,243.8246115309081,918.6772404789356,0.0,0.0,222.2627028353413,1147.850160212993,0.0,0.0,0.0,521.6669375484202,138.47782541068727,0.0,0.0,0.0,0.0,0.0
2017-06-03,0.0851064,0.0,6454.133205316508,153.31785321647789,0.0,166.76555725814092,945.8626525815324,0.0,0.0,214.4263101617701,1363.6829024790168,0.0,0.0,0.0,280.16040931049,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-10,0.19425,0.0,6541.768625366721,0.0,0.0,0.0,1051.3369478888526,0.0,0.0,186.27518592819996,1185.6080160916968,0.0,0.0,0.0,575.8357350317325,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-17,0.167785,0.0,7119.992718626507,176.49075557680106,0.0,173.975927342668,870.7645234410467,0.0,0.0,234.67252903745455,1310.719385190316,0.0,0.0,0.0,418.6257231262688,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-24,0.0418235,0.0,6789.789211028528,137.00723172010592,0.0,215.75795657048357,797.8950540758813,0.0,0.0,173.84301196115467,1166.7129253460116,0.0,0.0,139.8127716959561,386.1986404864141,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.15534,0.0,6587.944380889265,220.4268957596036,0.0,0.0,713.7657166362092,0.0,0.0,158.76620428045132,1071.9760194695878,0.0,0.0,0.0,225.7510439060486,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-08,0.0955566,0.0,6925.2591826468015,145.51535519222992,0.0,0.0,568.0014780138404,0.0,0.0,0.0,1176.1995158436414,0.0,0.0,0.0,318.8560681287872,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-15,0.0381825,0.0,6600.881968762514,148.7188649518302,0.0,157.42106565245518,913.922237626062,0.0,0.0,191.02981427242915,1043.134980365748,0.0,0.0,167.58535331357012,232.54965094845969,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-22,0.0416667,0.0,7393.193339674503,174.40512480600927,0.0,166.8806961266847,622.12715152337,0.0,0.0,179.55282268448002,1151.3443070290775,0.0,0.0,0.0,352.7971877153923,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-29,0.10005,0.0,7139.094582115574,0.0,0.0,0.0,648.9181417117564,0.0,0.0,175.0748168635921,1215.810164193372,0.0,0.0,193.4009785330168,229.52284560390436,0.0,0.0,0.0,237.21888147130423,0.0,0.0
