date,Hawaii,flu symptoms,the flu,how long flu,flu how long,symptoms of flu,influenza a,bronchitis,the flu symptoms,contagious flu,a influenza,rsv,flu cold,flu contagious,stomach flu,flu a,pneumonia,flu fever,fever flu,how long does flu last,sinus
2014-02-22,8.10466,0.0,529.6667944386696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.4208332303147,0.0,1575.4651339393415,0.0,0.0,0.0,1144.122825316021
2014-03-01,6.84524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1288.6893753581037,0.0,0.0,0.0,948.4281790200428
2014-03-08,6.30225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0621569328264,0.0,1604.1405819050462,0.0,0.0,0.0,1422.4291354384704
2014-03-15,4.625,568.3944563906193,685.9781045849332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.4600559281738,0.0,0.0,0.0,872.1896810061154,0.0,1333.1169498461506,0.0,0.0,0.0,1183.473781687695
2014-03-22,2.62123,640.9778917013871,0.0,0.0,0.0,0.0,0.0,973.0797468235288,0.0,0.0,0.0,0.0,0.0,0.0,819.8370974972254,0.0,851.1022924207907,0.0,0.0,0.0,1469.1401137664243
2014-03-29,3.03721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.5109802883392,0.0,0.0,0.0,1614.891064581903
2014-04-05,3.0303,0.0,1199.1435261688282,0.0,0.0,0.0,0.0,1006.6896386911789,0.0,0.0,0.0,0.0,0.0,674.2403742761741,0.0,0.0,670.2761060348159,0.0,0.0,0.0,1637.7088196266557
2014-04-12,2.15783,718.4111192855189,0.0,1009.275540048612,593.2546415878326,0.0,0.0,768.2166695338743,0.0,0.0,0.0,0.0,0.0,0.0,891.2103476594016,0.0,1810.535568727623,0.0,0.0,0.0,1035.6173625443464
2014-04-19,3.24977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.9927852131955,0.0,0.0,0.0,1073.1515749524378,0.0,0.0,0.0,800.0819253032741
2014-04-26,2.49844,0.0,847.4978338652624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.943121898039,0.0,0.0,0.0,1478.885305046957
