date,Utah,cold,rsv,flu symptoms,the flu,pneumonia,a influenza,influenza a,how long flu,flu how long,symptoms of flu,bronchitis,the flu symptoms,contagious flu,flu cold,flu contagious,stomach flu,flu a,flu fever,fever flu,how long does flu last
2017-12-23,1.22118,12494.539149133563,491.23827639002434,751.3768063106503,1079.465140239176,1190.247202344913,0.0,0.0,351.3189983391271,316.34780854629065,0.0,992.7625608204816,0.0,260.82732129112054,508.0554891952928,260.82732129112054,865.9792606857385,515.9072811356348,0.0,0.0,0.0
2017-12-30,2.17853,12392.680480102528,752.8184093881804,1155.709883925024,1770.159151772912,1962.1500806861557,700.7179509259316,700.7179509259316,593.8842383369454,569.6753717932075,259.76526837631144,860.9250017591667,332.9384416078356,265.8010810067333,539.3032916470994,265.80108100673334,1000.0687239468404,764.8550643403627,0.0,0.0,252.2436462090994
2018-01-06,2.1062,13282.882484172802,842.8859941879617,1172.5640464756525,1958.285225238473,2017.403341771778,440.2266227666888,440.2266227666888,328.48992849155167,319.2104797647134,208.41489347950957,959.729877911314,338.8853086109935,255.2527679029916,549.2391812292688,255.2527679029916,898.4418836097423,386.5902770207722,222.9274839096038,0.0,0.0
2018-01-13,2.08395,11279.30153098977,609.997146474766,1729.4160926716563,2683.0846592875337,1484.445875915197,584.8461665345561,584.846166534556,641.1321208819492,674.8157419435333,456.2498288440112,1065.1768669264577,277.85069520936634,405.8427377533581,877.7640803557919,405.8427377533581,637.588248895056,739.774756103143,0.0,300.8475373029976,229.3144332866184
2018-01-20,2.60146,10130.0215594273,767.4190650259312,2806.726909921661,2782.572866775423,1796.58306345802,488.8361051733083,488.83610517330834,822.8160682671634,768.697147156082,571.4093993388786,959.7175054786302,269.73834819243314,298.7058353808497,525.1574357809595,298.7058353808497,756.9978083440875,837.0910535296435,340.5797790567475,200.5041934776561,347.98652097013445
2018-01-27,1.75702,11421.50956017173,692.6215663540098,2476.3071470554155,3676.892642596734,1982.8075031597875,723.870163857717,723.8701638577171,726.2108116908001,777.7895340852701,580.0777983216238,1125.0906497513915,416.2780639398334,254.94399205459663,608.229293653565,254.9439920545966,608.247665374131,876.0656435161137,241.50963091164004,0.0,576.9512744733637
2018-02-03,2.01158,9708.85122483371,1038.392322165468,2698.2725424239056,3784.934454667772,2094.5804995286644,893.3470036884403,893.3470036884403,756.8692290180779,878.7022379257968,696.6525027150307,1006.7014408136708,725.5705707572242,634.822501180167,569.2342194788333,634.822501180167,699.9813661624498,1210.1680188131545,454.57759146004696,476.9886141743962,315.6347112844687
2018-02-10,2.5761,8693.014365020923,962.9752401174612,2755.848166613368,3153.3503466685725,1463.568387769879,548.8612419453686,548.8612419453686,698.7017320884498,709.1427529535333,661.7693409869565,1018.520661796059,491.9874998109068,341.9595778221775,582.7168221293749,341.9595778221775,617.2903047641029,844.2070476067099,474.4594627651813,427.3577569016994,0.0
2018-02-17,2.98601,10768.592259205125,1218.1232817191042,2749.765604184834,3076.5124068374485,2049.369688441074,477.2972370314841,477.2972370314841,542.9223682095983,632.6194778497551,714.5062777918142,989.745816794825,570.9669273187224,0.0,733.8535102524022,0.0,493.4164983670682,991.3386269372412,445.3804905858518,286.44048409697206,240.9771435886099
2018-02-24,3.0292,11342.907991628714,1042.6495357153376,1711.8575552237294,2024.3335841934736,1973.1914255476252,384.1038560527427,384.1038560527427,352.27416503144127,308.8991227189655,410.8032975883104,1031.318269344799,296.61347516152404,0.0,454.196855863554,0.0,348.0654586474866,516.4882406070356,291.5429321507327,370.37314457235937,0.0
2018-03-03,1.43303,10132.265667336089,377.4949907991026,1386.9592647978277,1676.972803429751,1386.9667738466778,404.67371713129006,404.67371713129,430.62997935702674,459.5038583419762,339.374649645714,1503.10387797054,257.90037417725847,0.0,430.007170052175,0.0,376.2853505796538,421.4057821180112,0.0,0.0,0.0
2018-03-10,1.6104,9359.62199684688,612.5418691249137,922.6740344744312,1353.556069704336,1365.9079580246428,241.73884604203823,241.73884604203823,475.60765849540405,487.4787516698386,258.9130777524048,712.0940657536182,0.0,230.04127359726223,505.11211801692775,230.0412735972623,543.5616410802934,432.752268762395,0.0,0.0,0.0
2018-03-17,1.2915,9112.283428240818,597.5186928023077,730.838671639034,993.8055850780048,1347.920825728546,411.53631696940414,411.53631696940414,0.0,0.0,362.168778177888,799.0974525430205,230.2700162850936,0.0,214.1682769612131,0.0,371.4567200160385,461.1724039117552,0.0,334.2664024253174,0.0
2018-03-24,0.815959,9507.648601992263,476.2276176273704,656.4366848506019,654.4476303568143,1373.652399778521,0.0,0.0,0.0,0.0,0.0,805.0868915417221,0.0,0.0,410.8423411148348,0.0,350.7760310482849,406.7902025251922,0.0,0.0,0.0
2018-03-31,1.00053,9553.322485260169,274.78741165032284,264.37122276139166,655.9328292721461,1187.9863098540336,0.0,0.0,0.0,201.75636228067648,0.0,522.9083690368221,0.0,0.0,223.3971408664767,0.0,504.7695683011454,319.8963200309443,0.0,0.0,0.0
2018-04-07,1.20949,9100.381681157078,376.9464243224876,443.5046917510852,354.55097346531045,1340.3045556409895,0.0,0.0,0.0,0.0,0.0,772.7537036629649,0.0,0.0,0.0,0.0,332.22724770619504,274.9991374697429,0.0,0.0,0.0
2018-04-14,0.835232,8841.1273942725,0.0,417.17642895667416,564.4991301806185,905.1470701631308,289.9310029020529,289.9310029020529,0.0,0.0,0.0,589.9405774172193,0.0,0.0,0.0,0.0,346.3494070237379,227.33739922146623,0.0,0.0,0.0
2018-04-21,0.722453,9382.848762754316,227.34154060212083,205.7155070618444,328.0591915597992,1097.7565068448926,0.0,0.0,0.0,0.0,0.0,489.6839809868872,0.0,0.0,232.09114222049564,0.0,0.0,236.86659296981037,0.0,0.0,0.0
2018-04-28,0.933446,9268.31194967304,0.0,0.0,507.3338683355376,955.8884819344096,0.0,0.0,296.3694078222547,0.0,0.0,487.5490149269573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-05,1.02064,8981.632898952137,0.0,292.77498439188105,748.6130530835012,608.800237318625,0.0,0.0,0.0,0.0,0.0,555.256742297115,0.0,0.0,0.0,0.0,0.0,278.09005254928275,0.0,0.0,0.0
2018-05-12,0.716589,9349.760714433834,0.0,309.3013682480994,435.7203228388767,695.1697075033014,0.0,0.0,0.0,0.0,0.0,443.6560496965373,0.0,0.0,0.0,0.0,381.3717921030892,0.0,0.0,0.0,0.0
2018-05-19,0.935632,8431.850087381594,0.0,0.0,273.56296659089304,971.9206676092016,0.0,0.0,0.0,0.0,0.0,467.274766853174,0.0,0.0,0.0,0.0,0.0,0.0,207.21479019437103,0.0,0.0
2018-05-26,0.829122,7993.393842196374,0.0,0.0,241.11425185872315,668.7173224528474,0.0,0.0,345.4758405009259,0.0,0.0,441.8023326299067,0.0,0.0,0.0,0.0,329.682162683178,0.0,0.0,0.0,0.0
2018-06-02,1.62842,8579.141380018487,0.0,389.1671226141513,266.65890351794843,1118.3840557509309,0.0,0.0,0.0,0.0,0.0,470.7357300082776,0.0,0.0,0.0,0.0,568.5142199198349,0.0,0.0,0.0,0.0
2018-06-09,0.782286,8017.825709410599,0.0,0.0,0.0,801.5815549873715,218.2415753623019,218.2415753623019,0.0,0.0,0.0,447.1862532207462,0.0,0.0,0.0,0.0,269.5528705512141,0.0,0.0,0.0,0.0
2018-06-16,0.318847,8805.958906805114,0.0,321.69313505559745,0.0,807.5892596850454,0.0,0.0,0.0,0.0,0.0,433.2378852249461,0.0,0.0,0.0,0.0,393.8362648177677,0.0,0.0,0.0,0.0
2018-06-23,0.590195,7169.986320172179,0.0,0.0,339.88286369175654,386.6446322785623,0.0,0.0,0.0,0.0,0.0,509.722602325109,0.0,0.0,0.0,0.0,340.84730096129346,204.39868772129665,0.0,0.0,0.0
2018-06-30,0.210103,9051.277629310312,0.0,0.0,0.0,666.203872464746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.02120857264367,0.0,217.4870277744389,0.0,0.0,0.0,0.0
2018-07-07,0.0157468,9682.52207148766,0.0,214.175097102338,0.0,623.7687130856579,0.0,0.0,0.0,0.0,0.0,306.9571106556334,270.873344120437,0.0,0.0,0.0,263.1918884322066,0.0,0.0,0.0,324.0020724997728
2018-07-14,0.194384,7585.361137730784,0.0,0.0,245.43427014755088,726.7050849912905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.49137173651656,0.0,0.0,0.0,0.0
