date,Wisconsin,influenza symptoms,the flu,flu symptoms,a influenza,how long flu,influenza a,cold,flu a,flu cold,symptoms of flu,stomach flu,bronchitis,pneumonia,flu how long,strep throat,sinus,rsv,influenza a symptoms,how long does flu last,the flu symptoms
2019-02-16,1.75722,164.0766597396812,760.4594512594812,536.1845698618627,253.09405670981923,263.576538730385,501.51069431342376,13463.161183870932,319.7813829030985,228.60367798000112,0.0,507.14918322235405,636.7666817817973,1565.0355451838784,245.53351600197456,956.4357625564924,1689.7554040369607,595.6811121383629,0.0,155.1481934681062,129.70188763576266
2019-02-23,2.17075,299.04289820880194,1206.966524627206,843.575226673024,668.3491334282454,255.85737876991288,612.3222901361731,11474.2291080235,456.7593550565565,241.33333465885056,207.25522502675247,563.3588000798754,773.9134133851463,1545.7259198530755,372.2270081495388,1120.792704353075,1977.692704676976,507.7859039312058,111.33937383611708,148.13152804036628,128.6718568638372
2019-03-02,2.5885,522.8914210980087,1244.078155315434,758.5499639491604,1000.1149040540188,318.12087597958805,918.7589825588672,13608.007328733576,434.6989042520228,204.5699399682589,188.62549395861043,521.4256732826138,597.0652878897853,1248.3560516059415,258.73320174361726,1037.8192984207742,1811.4986301553115,512.5675724295718,325.70903610229806,0.0,174.30878098875186
2019-03-09,3.17355,589.5957509444061,1270.484633368049,629.7152778654723,1373.9723379722611,389.7331118668791,1439.651280317626,14115.272622495828,467.36295552770986,238.8580692133916,206.86697300310055,652.1475389209089,660.1734196672115,1567.185478388457,360.5256862376255,1155.6345557833856,2176.622694302651,423.9566922464406,333.48301163862976,143.02184863381692,208.37887615962677
2019-03-16,3.39726,590.0389221229431,1402.4511562635823,794.2106215386315,1519.36207151967,284.38609180811704,1588.4958450293964,10890.791246119124,550.3134199458123,225.64258374312783,180.01097853928042,594.382294561177,894.898398453681,1676.9752428511022,351.0624393488754,1036.349586601681,2185.21162650051,342.37478926575585,268.9506173358759,131.285822315575,0.0
2019-03-23,3.56468,649.6225253822921,1462.3820520188451,886.9996521499373,1320.9513753566744,443.7584674219865,1316.8420331508787,9600.258884454908,670.8529590703976,376.1036851495984,127.39242099532382,664.7907323752999,594.5746733530407,1652.981465504929,483.6721401463432,1076.0077399004065,1955.5253655819424,382.7270923699909,312.8872446466324,256.22917270798746,187.3344742708298
2019-03-30,2.78141,412.76677764786575,1056.8487558371658,578.7903680821044,980.2907736078888,155.46715249436403,910.1533942563004,9885.566216957051,569.5181926279666,268.7299349778018,198.93261862748932,483.1938495310417,1023.7521624746958,1643.0699632423425,190.33351724234527,1135.1675751826622,1784.5733700643289,224.6608314778392,202.64186138889625,0.0,162.26939981247892
2019-04-06,2.62624,374.9709370570158,737.9546380218128,516.1390688344517,667.8019114754555,326.1845338190296,730.5012391919585,9149.885350787192,680.9687173149817,267.1422726956416,175.8452050015814,550.8417891639156,707.9690092115479,1417.4849966154688,333.36643858166326,982.6320048612216,1817.881801254341,203.75689509370997,233.9882854815238,119.13032195647892,153.0394386645258
2019-04-13,2.16513,289.3758243729189,817.1281668226586,339.3555975758641,648.1543397166655,179.74936118063837,671.5639747205638,8727.134749728573,248.36232657494355,124.60197562596542,0.0,445.0938103588291,895.3211236693068,1443.0122375552487,268.4610863022969,938.8170194774108,1607.090282703709,183.2331023341728,162.02934980802212,0.0,0.0
2019-04-20,1.95508,204.61373834161364,554.5419355665422,392.9237083720836,276.945459394608,201.61462992950004,188.94088206342465,8849.374562247009,121.73484115234378,222.88031417170325,124.03993879186102,531.3340535526404,557.704206274328,1195.9414987879518,153.86003018990428,774.4524410325406,1625.467169616432,134.30791285399857,0.0,0.0,119.0649860541058
2019-04-27,1.38528,0.0,588.9650517230664,326.4743593600575,314.3829009484067,156.79331169347094,305.0154918196881,8960.093518742937,268.89291300552617,164.7696680462491,0.0,417.5974163821057,563.3539350730421,1074.7418053790814,133.54774276186447,894.1112769498859,1568.5664733152987,221.59896057127224,0.0,0.0,0.0
2019-05-04,1.59846,185.2486930902979,446.7552318137864,340.00772602998035,128.96991714536108,0.0,156.2861633813827,8887.833960984231,226.68433714261351,140.35975062081903,0.0,522.8452031760824,561.6663759968252,1240.293328466871,0.0,877.5990639028573,1783.0010361873667,168.52937362767224,0.0,0.0,0.0
2019-05-11,1.17867,0.0,531.5530229727708,329.47669906785137,198.63354240601527,120.69573868978522,162.89997119283086,9208.085588322194,176.9843991503086,0.0,0.0,413.1729551127424,452.3523129264511,1423.4937074514055,0.0,892.8789885536709,1509.8500094584615,0.0,0.0,0.0,0.0
2019-05-18,1.47199,111.53223691586932,229.7769595661173,273.2103734312229,116.7737360563244,0.0,121.11512986647185,9876.182127533762,229.74964597083823,0.0,0.0,247.8890757220686,659.6765282888528,1105.8230732509762,0.0,961.607031292278,1435.4176039878644,116.83440131235798,0.0,0.0,0.0
2019-05-25,1.16016,0.0,373.1933721468869,220.3056022845008,120.45552214289076,0.0,0.0,9771.728753046951,196.3859288438417,139.33912651026077,0.0,293.2283798989008,703.9087406709768,1152.8578768610314,0.0,840.8123672151158,1240.18292403007,138.47790906061866,0.0,0.0,0.0
2019-06-01,1.20862,0.0,279.6371837559712,266.28213730699,0.0,0.0,106.15097191972067,8223.096883645552,122.46309258491095,146.71168793688534,0.0,171.1224272540339,597.1313634552506,920.061409917191,0.0,851.2588746750743,1480.1272586710234,0.0,0.0,0.0,0.0
2019-06-08,1.03784,0.0,246.6076790128257,165.68677414470096,0.0,0.0,0.0,8433.352622808481,0.0,144.01960033441804,0.0,241.6877206922216,546.5858179873705,811.581373868381,0.0,596.7520105029726,1276.2325398886417,111.62929211925632,0.0,0.0,0.0
2019-06-15,1.00753,0.0,277.2734024741747,0.0,0.0,0.0,0.0,7881.446451404527,0.0,0.0,0.0,223.18315557079652,607.44012897305,992.1346202863614,0.0,847.6450434514923,1486.1406756929473,0.0,0.0,0.0,0.0
2019-06-22,0.88601,0.0,144.12404315968809,0.0,0.0,0.0,0.0,7806.960027106633,130.46670472289694,0.0,0.0,186.6483795119122,501.6459569736507,937.6410552043752,0.0,566.5997028116893,1233.4142980272052,0.0,0.0,0.0,0.0
2019-06-29,0.775114,0.0,201.3791306164367,120.80460369725836,0.0,0.0,0.0,7268.020523691285,0.0,0.0,0.0,224.02585057278293,403.3842041231198,785.9675225866646,0.0,569.6364245225697,1267.8363243989488,0.0,0.0,0.0,0.0
2019-07-06,0.872846,0.0,239.73090953098435,181.06767690599617,0.0,191.1784354111672,0.0,7760.747832035329,0.0,0.0,0.0,179.69012285801324,354.7182275234616,762.4613915103588,0.0,487.0562439215139,944.2442807746625,0.0,0.0,118.87932497897924,0.0
2019-07-13,0.704191,0.0,144.50101095459453,0.0,0.0,0.0,141.98766731090913,7655.214080353155,0.0,0.0,0.0,112.02667818950268,397.7500685824461,775.4902652336517,0.0,740.4840135879471,1158.541766211878,0.0,0.0,0.0,0.0
2019-07-20,0.830233,0.0,244.0330741616312,302.8853268972866,0.0,0.0,0.0,9148.122455733612,190.39649265022956,141.4469226454783,0.0,115.3696992819801,309.67485319362424,608.8641356876847,0.0,571.3115224091215,1155.9459210198484,0.0,0.0,0.0,0.0
2019-07-27,0.639068,0.0,0.0,0.0,0.0,0.0,0.0,7900.727900095637,0.0,0.0,0.0,0.0,293.194512470689,916.4567395006962,0.0,689.7247715145692,1294.7613324456222,148.49104885856795,0.0,0.0,0.0
