date,Texas,contagious flu,flu contagious,how long flu,flu how long,is flu contagious,flu type,flu cold,flu incubation,flu type a,how long contagious,how long does the flu last,the flu,bronchitis,b flu,flu symptoms,flu incubation period,how long is flu contagious,fever flu,how long does flu last,the flu symptoms
2016-04-16,3.25267,65.44970307321726,65.44970307321728,108.02230946284064,91.19599796841912,34.20313138570487,34.25498272791795,98.62649090151932,23.22409477352413,35.699146121543265,85.00056333273717,30.32473688988691,446.01178713831257,495.48450166653697,45.412393101293446,339.98959098694394,0.0,21.218896389888812,77.87015834101182,35.164700160448,86.20858220930343
2016-04-23,3.57929,51.84944191885258,51.84944191885257,102.33664019702437,85.74111993337903,32.1888450739744,56.42841454318971,105.85738053492962,0.0,20.974494123721584,93.97249261598635,25.328827854754703,464.6582668916144,551.5222685751226,37.20196247651671,363.2542722361356,0.0,0.0,53.13450722572532,23.387736040462347,64.81605489205697
2016-04-30,3.0393,26.91166433800953,26.91166433800953,61.98697588184292,59.76206124182018,0.0,0.0,95.27993946191864,0.0,0.0,80.57257611806915,34.551118365866714,288.518905150988,507.0425388655152,37.958514864981176,281.76868398516456,0.0,0.0,82.28782242140119,36.80081307981685,38.95726258209458
2016-05-07,2.74919,33.676933407641904,33.67693340764191,50.389999423535,49.43476428416652,0.0,27.02913317528369,93.97617389726268,0.0,23.617012506998968,108.12540505449164,0.0,304.17717051134946,443.996998411264,38.144058406452245,259.9548923727383,0.0,0.0,41.45254950364688,34.01871274043046,60.18893483485184
2016-05-14,2.30401,0.0,0.0,25.31487558140223,45.8382613962751,0.0,22.9986077414268,55.155644259136096,0.0,0.0,91.8067877329558,0.0,268.3974022445746,481.0312823030072,34.33345417649149,189.508802748438,0.0,0.0,0.0,0.0,38.07558451439765
2016-05-21,2.35638,32.77079202968736,32.77079202968735,38.413049500137966,36.85254700800187,0.0,0.0,82.25044792602048,0.0,0.0,77.40516232425374,0.0,257.0584818246898,439.9163769399726,0.0,231.61954462914608,0.0,0.0,33.91992646026076,0.0,43.05987932601388
2016-05-28,2.78809,25.49103452203704,25.49103452203704,55.88276261664924,64.57575583262881,0.0,0.0,100.92038892873155,0.0,0.0,86.23028738088404,0.0,286.5033452603905,503.7580549179233,0.0,179.68195831991318,0.0,0.0,25.16654502855916,24.277268887012745,23.963791918207555
2016-06-04,2.47401,0.0,0.0,38.41351056484167,35.09728629435702,0.0,0.0,57.11175778641248,0.0,0.0,82.92747886684342,0.0,177.72850390905938,431.4606201276032,0.0,152.96174595973918,0.0,0.0,0.0,0.0,26.65451639792163
2016-06-11,1.99249,0.0,0.0,36.99305760328292,33.258116741030975,0.0,26.90192127172924,80.03899892149633,0.0,0.0,90.63655446370149,0.0,178.3804824867868,464.71130802558497,0.0,150.49815754285177,0.0,0.0,39.60265580909935,0.0,0.0
2016-06-18,2.1005,32.570569217631714,32.57056921763172,34.661878396437075,0.0,0.0,0.0,52.89914790606166,0.0,0.0,65.01160098297154,0.0,132.51152941678592,363.9697449343556,0.0,154.90970574241504,0.0,0.0,31.2268889428043,0.0,0.0
2016-06-25,1.87159,0.0,0.0,0.0,26.889760335692284,0.0,0.0,52.00482659012677,0.0,0.0,99.0401181378896,0.0,165.14099033601295,376.01669012751614,0.0,117.94825411661286,0.0,0.0,42.315057187182845,0.0,0.0
