date,Oregon,flu symptoms,the flu,sinus,pneumonia,rsv,how long flu,flu how long,flu cold,bronchitis,flu a,contagious flu,influenza a,a influenza,symptoms of flu,flu fever,the flu symptoms,flu contagious,stomach flu,fever flu,how long does flu last
2018-09-08,0.601436,149.90155718847384,295.1372374962313,973.9136210509402,723.1807055921057,225.1493668846336,293.7411926212933,293.7411926212934,0.0,0.0,254.92965925294163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.07030125466477,0.0,0.0
2018-09-15,0.493436,235.6026852857632,457.8081346229884,655.4195674082504,832.4545393893515,0.0,0.0,0.0,160.32836947771648,345.8205528808714,167.509858278233,0.0,0.0,0.0,0.0,0.0,171.94931953551483,0.0,0.0,0.0,146.03913194331832
2018-09-22,0.610103,0.0,608.0808785225139,1098.785307306987,749.0995032368374,0.0,0.0,0.0,0.0,517.9396910456162,330.2447376402704,0.0,0.0,0.0,0.0,0.0,175.38002055809983,0.0,343.672927148294,176.22629220891702,0.0
2018-09-29,0.705561,379.2087926321612,691.4338350456536,1174.8572269430797,886.7255897353809,0.0,0.0,0.0,274.0215595293388,376.1492187466002,537.2572333151172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.89721467333206,154.27961077542827,0.0
2018-10-06,0.780399,355.6006614006374,980.5044364220848,1246.438058726167,835.7809829336234,0.0,236.40503611160452,236.40503611160457,214.6489779774164,352.54968623623205,602.3891793930198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.2191385612842,0.0,0.0
2018-10-13,0.793493,435.0836290318535,899.2165071322681,1162.807472457078,1210.4687254519176,243.1797295698809,0.0,0.0,167.09829988084067,394.11996537589926,388.9667085119778,0.0,181.5585482345776,181.5585482345776,0.0,0.0,0.0,0.0,408.329098519994,0.0,0.0
2018-10-20,0.851592,357.8082693849297,894.4266552766309,1367.1721909649957,855.0259332073832,157.61626229819043,218.27565997909264,218.2756599790926,233.69023919863844,522.959064234466,680.5133055608957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-27,0.879487,455.78942332960105,722.4793474171144,1439.510714557758,855.7873731048986,146.77636286802107,0.0,0.0,207.44896177167544,460.95348053713593,558.5843074273582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.61303521754692,306.495767198422,0.0
2018-11-03,0.927737,537.0591110441887,761.8161816449164,1140.3475941630422,1091.9422713608324,181.70848221098728,0.0,0.0,0.0,296.9077982893307,446.6248095252884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.7080276814949,0.0,0.0
2018-11-10,0.99541,634.1649487994183,702.2595504343685,1335.2572590816235,1049.7130788731515,201.681744075439,165.39204142161498,165.39204142161498,169.25464953193736,642.3837054113611,303.9513672231216,0.0,0.0,0.0,0.0,149.7505309076232,0.0,0.0,181.80722425781,0.0,0.0
2018-11-17,1.16013,611.5578053929544,675.2573943530701,1513.4650550534077,1043.9506524447074,0.0,0.0,0.0,364.6598240571283,338.1840429146814,326.5114942880037,0.0,0.0,0.0,0.0,0.0,0.0,304.422138856255,339.5596174346412,0.0,0.0
2018-11-24,1.36558,394.61338611589736,609.7514672550797,1193.690165383031,1091.1251691970235,153.23953433043678,177.92643682669805,177.92643682669805,255.3742071764647,629.5473419030674,512.9163159353237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.3003805927551,0.0,0.0
2018-12-01,1.22572,284.6638486420756,480.0214377618845,1366.0375562613658,1220.6591103707651,311.5815669692446,156.47794846274246,156.47794846274246,236.79531563956857,564.7082558451792,357.05084273534897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.71885215712615,0.0,0.0
2018-12-08,1.28866,395.0785722835208,391.98599786614017,1313.8559030421682,1192.7487828524638,281.36586948980147,0.0,0.0,234.99009104079897,767.5604468559974,506.6193197440363,0.0,0.0,0.0,0.0,0.0,0.0,179.9494343454856,336.82923726904096,0.0,0.0
2018-12-15,1.56232,439.169363057797,742.2478629984729,1367.465609043971,1261.0632084011113,179.24656609344126,182.25370340246,182.25370340246,0.0,529.2849618219966,226.9361158636016,0.0,260.69997020202914,260.69997020202914,0.0,0.0,0.0,216.3980223143908,410.5542846776946,145.6927136761479,0.0
2018-12-22,1.591,538.076718113598,567.8239258248375,1451.5317611982684,1222.6352388884827,367.8990575424922,200.6869762398188,200.6869762398188,333.8700090025912,661.6203494317879,326.2400480297657,177.79423010421976,0.0,0.0,171.25839407803647,0.0,0.0,231.25555189961824,403.22824039011886,175.13784771287555,0.0
2018-12-29,1.75539,688.48721389444,882.5577094914145,1408.1627251512664,1009.715676663482,377.7784337866468,197.851600122538,197.851600122538,259.93037083024626,771.1562207798157,336.4134802659022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.4756486357774,0.0,0.0
2019-01-05,2.1389,701.2036577229941,757.265749482706,1932.1046253708869,1279.6165988909245,458.5885156915967,339.7926337245603,339.7926337245603,390.1651502842786,813.6532005502308,427.4764252371597,0.0,0.0,0.0,160.74170942924232,0.0,0.0,177.47948957132746,473.3549944908057,0.0,0.0
2019-01-12,1.6373,715.3653820406444,785.8690833773628,1899.5949743292165,1231.5226844647996,293.1659328017976,285.84278632133845,285.8427863213385,417.3853561333595,758.3398916169696,469.6767779565276,178.21973553989122,0.0,0.0,171.6756985184705,150.65571359868235,239.9092967140412,211.48609899392503,418.3196018244204,291.9046997243438,0.0
2019-01-19,1.68362,608.3823204584988,846.2847121370551,1455.8321066856777,1315.3932258424284,594.1313061478961,0.0,0.0,311.1702261821944,564.7218997231719,468.07100369116654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.3529636849032,301.2327279256704,149.4602218049515
2019-01-26,1.90252,514.2455881094058,783.8632819227284,1485.549329215168,1544.6609469957334,485.24004654844737,218.90735586328395,218.90735586328395,149.3849191655898,612.2303661178227,206.2325729072144,0.0,434.7413099760937,434.7413099760937,138.49343412035756,0.0,0.0,0.0,417.6614660557466,0.0,0.0
2019-02-02,2.31881,859.3978366709839,860.8063620596765,1874.3214432882148,1698.805759609183,525.9726571700222,231.02246709457415,231.02246709457415,385.668131392089,780.4657604450804,444.9870139457648,0.0,173.7221731492281,173.72217314922807,146.72318368214846,0.0,0.0,0.0,351.44001144389995,0.0,0.0
2019-02-09,2.54826,779.3111135305911,841.6016725307627,1503.888482497657,1832.2883770670733,552.3707101571732,471.8914480166442,471.8914480166443,326.23536370814054,1038.3145001436203,406.7516326198751,157.78917700154582,0.0,0.0,192.40670548492653,163.828898127686,0.0,0.0,0.0,180.6936225635881,0.0
2019-02-16,2.91153,600.5249314876423,876.6814654501293,1693.1887520319908,1588.5149160992446,547.6430730806186,266.7912069817795,266.79120698177945,246.27605167642625,826.0882316306312,534.5833523506504,170.30593218785418,330.501076118152,330.501076118152,0.0,163.99064361503036,0.0,243.14303408485756,425.3644037098005,0.0,0.0
2019-02-23,3.51386,669.6805905172073,1378.2227976487347,1642.6248137790524,1834.0762492196031,539.8103123190024,335.631077023672,335.6310770236719,369.3712994503347,895.8843783798909,635.039619990775,323.6723216385705,445.5504445317111,445.5504445317111,141.66977281488562,0.0,187.5756431912648,255.5502886585853,488.3600713878072,0.0,143.01127438025992
2019-03-02,3.86993,740.1708430370766,1275.2631637811028,1678.1960842432095,1549.405213342054,618.5127940411668,312.7225793879993,312.72257938799936,234.6666229058376,753.6309936380097,521.4704857869939,152.68367741510733,603.346148990611,603.3461489906109,0.0,281.32235878734025,0.0,150.2060543083406,357.1669595290194,262.2969124535447,0.0
2019-03-09,3.97757,792.3353476545774,1464.103570590093,1921.5029500602811,1849.4211658862023,490.4074539410356,239.23270055213183,239.23270055213183,210.2374998618989,1047.0769955589358,555.8170315110683,0.0,487.4891618918349,487.4891618918349,0.0,224.54312217258035,160.85212192865663,0.0,307.9381421981306,229.06449971120844,0.0
2019-03-16,4.70603,1344.143185571499,1882.344443352075,1836.2091131334228,1810.6186537720937,484.1546685403521,553.2288100618425,553.2288100618426,285.6409780318944,947.1426145368736,740.9135911612382,162.75900812958108,949.4649638538788,949.4649638538788,263.5688121701,268.4595006460744,207.54157470437363,225.96667552455224,0.0,284.98918364139456,246.86309269644545
2019-03-23,4.71255,1135.91189123975,1611.125128404753,1505.9327025626164,1927.052127858247,442.8681220443861,599.9365871633584,599.9365871633584,550.5027050413216,889.3218891681289,695.0740809325764,211.1088531633235,1008.5979849426304,1008.5979849426302,232.78665562588145,195.0457650297236,192.96534063323347,202.79552571123207,430.42938755022016,0.0,0.0
